col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,y
1.0,5.0,5.0,2.0,4.5,1.5,1.5,1.0,5.0,1
2.0,10.0,5.0,5.0,9.0,4.0,4.0,3.0,8.0,1
3.0,11.0,11.0,4.0,9.0,6.0,6.0,3.0,11.0,1
4.0,11.25,10.0,5.0,9.5,7.0,5.0,3.0,9.0,0
5.0,11.0,7.0,4.0,10.0,7.0,6.0,5.0,9.5,0
6.0,11.0,13.0,3.0,7.0,10.0,5.0,3.5,10.0,0
7.0,9.0,10.5,2.5,7.5,7.0,5.0,3.0,12.0,0
8.0,9.0,10.0,2.0,7.0,7.0,6.0,4.5,10.0,0
9.0,9.0,13.0,2.0,8.0,10.0,8.0,5.0,11.5,0
10.0,9.0,12.0,2.0,7.0,7.0,5.0,5.0,10.0,0
11.0,6.0,10.0,3.0,7.0,6.0,8.0,6.0,11.0,0
12.0,7.0,9.0,2.5,5.0,7.0,7.0,5.0,10.0,0
13.0,5.0,11.0,2.0,5.0,9.0,10.0,4.0,10.5,0
14.0,7.0,7.0,3.0,4.0,9.0,9.0,6.0,10.0,0
15.0,10.0,8.0,3.0,3.0,8.0,9.0,5.0,11.0,0
16.0,13.0,10.5,3.0,4.0,12.0,9.0,6.5,11.0,0
17.0,5.5,10.0,4.0,4.0,13.0,7.0,4.0,11.5,0
18.0,10.5,11.5,5.0,4.0,15.0,7.0,6.0,12.0,0
19.0,9.0,9.0,6.0,4.5,17.0,7.0,3.0,12.5,0
20.0,6.0,11.0,8.0,3.5,20.0,7.0,6.0,13.0,0
21.0,8.0,13.0,7.0,6.0,16.0,8.0,5.0,11.0,0
22.0,15.0,15.0,11.0,5.0,17.0,9.0,8.0,11.0,0
23.0,13.0,14.0,9.0,6.0,15.0,7.0,4.5,11.0,0
24.0,14.0,17.0,10.0,6.0,12.0,8.0,4.0,13.0,0
25.0,15.0,16.0,10.0,5.0,13.0,8.0,4.0,11.0,0
26.0,14.5,14.0,11.0,7.0,13.0,8.0,6.5,13.0,0
27.0,14.0,11.0,14.0,6.0,18.0,8.0,4.0,12.0,1
28.0,14.0,16.0,15.0,5.0,20.0,8.0,5.0,14.0,0
29.0,15.0,12.0,12.0,3.0,16.0,7.0,3.0,10.0,1
30.0,16.0,11.5,10.0,5.0,16.0,7.0,5.5,13.0,1
31.0,13.0,11.0,12.0,4.0,16.0,10.0,3.0,8.0,1
32.0,12.0,13.0,13.0,4.5,16.0,8.0,2.0,7.5,1
33.0,9.0,12.0,9.5,4.0,15.0,7.0,2.0,8.0,1
34.0,11.5,12.0,8.0,4.0,11.0,7.0,2.0,8.0,1
35.0,9.5,13.0,8.0,4.0,11.0,11.0,2.0,7.0,1
36.0,12.0,9.0,9.0,4.0,11.0,11.0,3.0,10.0,1
37.0,13.0,15.0,11.0,6.0,8.5,12.0,2.0,7.0,0
38.0,13.5,12.0,13.0,6.0,10.0,10.0,2.0,10.0,1
39.0,15.0,7.0,16.0,4.0,6.0,11.0,2.0,8.0,0
40.0,15.5,7.0,18.0,3.0,10.0,11.0,2.0,10.0,1
41.0,14.0,10.0,12.0,3.5,8.0,11.0,2.0,9.0,0
42.0,14.0,5.0,15.0,8.0,8.0,8.5,1.5,10.0,1
43.0,10.0,3.5,14.0,6.0,6.0,10.0,1.5,8.0,1
44.0,13.0,5.0,20.0,4.5,8.0,9.0,1.5,11.0,1
45.0,11.0,14.0,14.0,6.0,6.0,11.0,1.0,10.0,0
46.0,8.5,13.0,7.0,4.5,6.0,7.0,1.0,7.0,1
47.0,7.5,19.0,7.5,4.0,7.0,5.0,1.0,5.0,1
48.0,6.0,11.5,4.0,3.0,3.0,3.0,1.0,7.0,1
49.0,5.0,10.0,5.0,3.0,3.0,3.0,0.5,8.0,1
50.0,4.0,6.0,3.0,2.0,2.0,1.5,0.5,6.0,1
51.0,3.0,6.5,1.5,1.0,2.0,1.0,0.0,7.5,1
52.0,2.0,5.0,0.5,0.5,2.0,0.0,0.0,2.5,1
