Age,Civil,Can.US,y
31.18637,22.83411,7.394009,1
55.55914,18.82398,4.649171,0
46.84475,14.74777,7.412544,1
38.65486,16.11274,9.091577,1
31.14866,14.08295,11.007282,1
21.2955,14.26631,14.826195,1
54.14984,15.5977,5.549157,0
41.13384,21.82097,5.629469,0
32.61265,20.9435,15.480536,0
84.19693,18.86272,7.066119,1
53.40041,23.1884,10.86045,1
36.32352,14.18041,7.793161,1
38.24642,17.52741,9.228531,1
16.90371,19.21725,12.119771,1
49.64308,21.88894,9.367929,0
38.69632,17.99165,9.757161,1
51.78011,23.46203,7.163988,0
48.66861,20.55046,3.349288,0
68.20977,20.71243,8.180897,0
40.88956,16.8964,7.623984,1
70.19353,22.46233,4.892901,1
49.78243,24.57066,9.785597,1
29.22088,21.2202,9.920431,1
61.9452,22.34577,8.0944,0
69.92424,24.33128,8.921105,1
22.41093,23.81666,7.92407,1
73.14208,25.81556,5.392962,1
50.25041,18.48134,9.246144,0
59.90858,25.38729,8.250439,1
47.40993,15.54821,8.253026,1
59.22101,21.84382,17.137112,0
38.11056,23.03169,9.639585,1
38.82649,24.6327,5.30688,1
40.49625,18.48409,10.502372,0
46.27111,23.04858,7.546625,1
60.69474,15.60124,12.359905,0
56.9887,21.24923,9.328762,0
50.3076,24.42922,6.436592,1
31.10928,19.38341,8.685407,0
58.87905,20.6005,10.305835,1
32.85657,17.12442,7.96686,0
29.6662,21.65633,12.43705,1
36.12341,21.3262,11.214588,0
44.93738,24.62855,4.594869,0
44.89563,23.35907,9.4516,0
42.55286,19.47317,5.157527,1
39.00749,18.88768,10.276209,1
28.48044,19.01452,11.769225,1
48.10498,19.59423,9.962055,0
70.48336,22.7967,6.384136,0
41.8252,18.17218,11.039347,0
64.93879,22.27267,11.77969,1
67.78167,17.01638,11.967506,0
63.71057,16.96794,12.084795,1
26.6358,18.66263,8.182603,0
32.17431,12.31332,4.042098,1
29.95373,11.29584,5.509431,1
28.72693,10.82765,8.841081,0
37.19417,19.13134,4.167812,1
33.77907,23.11272,11.328474,0
17.25073,20.25152,9.062926,1
34.1775,17.75105,11.36868,0
60.84548,19.47414,6.690848,1
30.85411,17.00643,7.508841,0
35.95761,20.01411,6.456081,0
55.38179,21.8412,9.043536,1
38.01466,13.82133,11.917102,0
31.09277,20.50169,8.384408,0
66.16185,20.98436,7.962789,1
36.88611,26.62899,9.925015,1
26.24839,16.37618,9.206887,1
52.60568,26.44081,12.057291,0
45.49325,15.32068,4.805596,0
54.82461,20.53692,8.685458,0
34.48473,21.45076,4.187657,1
44.16966,11.97941,11.715031,0
53.20888,19.28388,11.385194,1
29.77773,21.62575,7.723369,1
31.48746,18.88074,8.664322,1
53.39722,27.6194,17.945732,1
48.65152,13.79837,11.043041,1
34.55501,20.04578,9.647154,0
29.16693,13.75281,9.239416,1
30.30996,16.85495,12.189791,1
44.45727,21.99979,13.024019,0
19.66987,15.12152,10.161239,1
44.05678,21.30771,10.108403,1
46.87087,22.14846,10.763728,1
51.29583,20.27642,7.493956,0
49.91967,10.24715,13.010366,1
39.07306,18.61345,7.68082,1
50.80356,12.18998,7.530484,1
50.90849,19.67577,8.997192,1
36.3622,21.77894,12.502025,1
53.05573,8.139584,7.405971,0
36.87878,21.065959,9.562442,1
54.33095,24.20832,6.118009,1
28.18625,16.265045,6.60199,1
24.24785,12.435849,6.313998,1
37.62636,27.308125,8.243452,1
38.18392,18.391304,13.57448,0
51.03951,22.727726,8.959712,1
36.06605,28.928272,9.041547,1
50.97347,12.843044,4.782641,1
43.75758,14.928319,3.680485,1
44.09445,15.717843,9.573348,1
52.70474,17.011994,6.779439,1
52.51761,24.448252,8.187178,1
29.5821,18.732784,11.727603,0
45.42079,20.391128,6.966569,1
48.5508,20.766737,7.195625,0
44.05683,28.215953,13.898368,1
40.59795,24.29844,11.505016,1
62.59774,20.919083,10.388981,1
64.52395,21.890008,11.146322,1
30.92853,15.16459,9.504353,1
38.29697,22.088098,7.034256,0
29.53164,26.062636,12.482617,0
35.11554,19.199661,6.712813,0
31.24179,16.232492,7.339393,1
42.1688,21.48458,17.471127,0
55.3512,12.377082,9.109013,1
