instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.5765133831938276,0.5765133831938276,0.0,1.0,0.0,0.9956652217405801,0.9713995465653295,0.0,0.23583045307286754,1.0,1.0,0.995,0.0,0.0012296246807289282,0.0016116490216953798,0.6923993802883405,0.008980817035266892,0.0012072829166212109,0.9537612133695328,0.2975285278321527
2,0.5002427487690194,0.5002427487690194,0.0,1.0,0.0,0.980326775591864,0.9502135327722251,0.0,0.05230231124042384,0.75,0.75,0.9006666666666667,0.0,0.0014858205064614332,0.0020823787711390118,0.6437567129219902,0.004166456193314235,0.0011323878260611092,0.14521790488253605,4.368630420781196e-05
3,0.47897324083673,0.47897324083673,0.0,1.0,0.0,0.8389463154384795,0.8665793377147706,0.0,0.022997414998636057,0.75,0.75,0.8096666666666666,0.0,0.00037215876858897755,0.0004088271766558919,0.846524592249217,0.004803609736766189,0.0002616265954483577,1.3438165548960437,2.677857935396236e-13
4,0.5174043534405016,0.5174043534405016,0.0,1.0,0.0,0.9103034344781594,0.898593276632941,0.0,0.058393879935512705,0.75,0.75,0.8476666666666667,0.0,0.0007599026737885792,0.0006677948607051526,0.5391564434152776,0.0038140563801172273,0.0006323832120949467,0.4538728546555284,1.0543048661888505e-09
5,0.5508444183160583,0.5508444183160583,0.0,1.0,0.0,0.9693231077025675,0.9299531743041569,0.0,0.06466333874031382,0.75,0.75,0.9410000000000001,0.0,0.0007599026737885792,0.0006358395885351555,0.58941069845477,0.0038140563801172273,0.0006954389942744277,0.5209611263742504,0.00023415756183599903
6,0.4168447490883922,0.4168447490883922,0.0,1.0,0.0,0.8449483161053685,0.8525523888906342,0.0,0.051262656139840046,0.5,0.5,0.8546666666666667,0.0,0.0008041635955323398,0.0008797210417851508,0.7818437036011582,0.0041406820606541255,0.0008456404886534373,1.2304936423568484,3.552713678800507e-15
7,0.4276400787870016,0.4276400787870016,0.0,1.0,0.0,0.9256418806268756,0.8976121531771852,0.0,0.042429423722381454,0.5,0.5,0.8633333333333333,0.0,0.0008041635955323398,0.0008797210417851508,0.7721447756363403,0.0041406820606541255,0.0007693720192702022,1.2928821295418407,2.2337909300312567e-11
8,0.4905577575048976,0.4905577575048976,0.0,1.0,0.005333333333333333,0.9996665555185061,0.9930874532125098,0.3333333333333333,0.37417263155845704,0.75,0.75,0.981,0.6,0.0014858205064614332,0.0020823787711390118,0.490822592311453,0.004166456193314235,0.0016987453228584234,0.8086474361789265,0.4145986511002054
9,0.5546009819631679,0.5546009819631679,0.0,1.0,0.0,0.9669889963321107,0.9273983703403612,0.0,0.11594261425762042,0.75,0.75,0.9366666666666666,0.0,0.00037215876858897755,0.0004088271766558919,0.7597956422194666,0.004803609736766189,0.00028757364860115185,1.1162955846950358,8.422912318884359e-05
10,0.536784268518187,0.536784268518187,0.0,1.0,0.0,0.9293097699233077,0.8995370940884706,0.0,0.02865123954715676,0.75,0.75,0.8913333333333333,0.0,0.0007599026737885792,0.0006358395885351555,0.5681224701918984,0.0038140563801172273,0.0006323832120949467,0.49570688952363484,3.1866980391620426e-07
11,0.4955479473222434,0.4955479473222434,0.0,1.0,0.0,0.8616205401800601,0.8785550251343056,0.0,0.006081044914938438,0.75,0.75,0.802,0.0,0.00037215876858897755,0.0004088271766558919,0.8601235637260061,0.004803609736766189,0.0002616265954483577,0.6249498217023379,1.808742045044924e-11
12,0.45361903056221,0.45361903056221,0.0,1.0,0.0,0.9389796598866289,0.9063212121194171,0.0,0.04178620673065103,0.75,0.75,0.8726666666666667,0.0,0.0012296246807289282,0.0019918802816461115,0.5245921451048698,0.008980817035266892,0.0011146702574432526,0.3713845614774618,9.074407895890961e-10
13,0.499078132975753,0.499078132975753,0.0,1.0,0.02,0.9996665555185061,0.9922262132501377,0.5,0.4759118436982068,1.0,1.0,0.9846666666666667,0.5,0.0012296246807289282,0.0018441430007093372,0.7734087879411784,0.008980817035266892,0.0036883207224696914,1.0057443054004054,0.3088803153725924
14,0.5150360228149179,0.5150360228149179,0.0,1.0,0.0,0.8969656552184061,0.8884310499655887,0.0,0.10574916144108648,0.75,0.75,0.8446666666666667,0.0,0.0012296246807289282,0.0019918802816461115,0.6898645472334191,0.008980817035266892,0.0011146702574432526,0.7697987282117104,1.0895430119613181e-09
15,0.5606806562604603,0.5606806562604603,0.0,1.0,0.0,0.9769923307769256,0.9326762142683374,0.0,0.06628837837955182,0.75,0.75,0.968,0.0,0.00037215876858897755,0.0004088271766558919,0.7463873954377155,0.004803609736766189,0.0002616265954483577,0.769025944797275,0.00656529981775057
16,0.4060223822689796,0.4060223822689796,0.0,1.0,0.0,0.6685561853951317,0.7780549629219811,0.0,0.0234428082753545,0.75,0.75,0.8526666666666667,0.0,0.0008041635955323398,0.0008846235686565314,0.793874072230656,0.0041406820606541255,0.0008456404886534373,1.0823784811532975,9.992007221626415e-16
17,0.5488947715655921,0.5488947715655921,0.0,1.0,0.0,0.9573191063687896,0.9172981520682998,0.0,0.08264643827782359,0.75,0.75,0.92,0.0,0.0014858205064614332,0.0020823787711390118,0.6249256667327387,0.004166456193314235,0.001253236307064233,0.28143843552718184,1.5450495739693043e-05
18,0.49777567762959785,0.49777567762959785,0.0,1.0,0.0,0.7695898632877626,0.8413096961608499,0.0,0.034625000645538084,0.75,0.75,0.7913333333333333,0.0,0.0014858205064614332,0.0020823787711390118,0.5686348008384826,0.004166456193314235,0.0011323878260611092,0.23691483682412567,3.8391512191545284e-13
19,0.5275351942396174,0.5275351942396174,0.0,1.0,0.0,0.9929976658886296,0.9676997028686127,0.0,0.15681228600710495,0.75,0.75,0.9456666666666667,0.0,0.0012296246807289282,0.0019918802816461115,0.5728896240246608,0.008980817035266892,0.0012072829166212109,0.5309550312540702,0.003104216727150409
20,0.4520182669461791,0.4520182669461791,0.0,1.0,0.0,0.8506168722907635,0.8657894792063747,0.0,0.011838800873018696,0.75,0.75,0.833,0.0,0.0007599026737885792,0.0006677948607051526,0.4787595836651716,0.0038140563801172273,0.0006323832120949467,0.3764225976398855,2.0539125955565607e-14
