instances,instance_hardness
1,0.5644151984620863
2,0.06758544990600035
3,0.8212335010250247
4,0.4008777854837198
5,0.24377737966954582
6,0.8032862378391368
7,0.07891073695843254
8,0.7988889365664102
9,0.08762570693842064
10,0.12768319405036244
11,0.03753526715073008
12,0.7730053789103657
13,0.7776039636209361
14,0.09980566693091264
15,0.07578440035330303
16,0.05677805442323958
17,0.05848718254409346
18,0.05774557881602915
19,0.04177710764604292
20,0.5320545105769435
21,0.10025352079019079
22,0.052103542431433114
23,0.13743545034458582
24,0.3162421331138521
25,0.164283724784554
26,0.2439989216292111
27,0.042630107436249176
28,0.08621907537001816
29,0.7560782255646379
30,0.21632545814313664
31,0.054465847611526175
32,0.5135052519638372
33,0.5175147635468194
34,0.7920917333509317
35,0.32358969682239525
36,0.03742607229920181
37,0.16748761296084202
38,0.44147162310405974
39,0.0779232860673007
40,0.2160511789450975
41,0.08115631308289162
42,0.1718146135134655
43,0.21671201953541852
44,0.05625996416515355
45,0.14562691513410386
46,0.7881417392348756
47,0.07877724295731248
48,0.4591895099635943
49,0.07651479928403815
50,0.05835793388762389
51,0.06275775530806971
52,0.4577866744594089
53,0.043251956211026066
54,0.7620528698391638
55,0.08312876762438903
56,0.0390433482943181
57,0.775269844083869
58,0.3860535704024144
59,0.12506842414823083
60,0.774344570385153
61,0.11522814065070897
62,0.7333530997155404
63,0.03335472241252124
64,0.45416920057796617
65,0.03988712832341845
66,0.09392077498506124
67,0.034828534756056295
68,0.7512195082737468
69,0.5739523849687999
70,0.7622043128419302
71,0.09061886155529175
72,0.7389553871403984
73,0.5074894303944928
74,0.19426674466964733
75,0.2489569844275037
76,0.09483495875020465
77,0.8301316145045982
78,0.5489106621922609
79,0.08855870455220083
80,0.14051907614828696
81,0.0605929569822482
82,0.29342241072882713
83,0.5606713369263636
84,0.755636290419275
85,0.4469916351019083
86,0.05912440597418189
87,0.3263601291327819
88,0.13159634867578496
89,0.66268456181234
90,0.6344919919975788
91,0.03876463705885447
92,0.5642035376549718
93,0.10240981484307954
94,0.5607991715630991
95,0.2565450040272962
96,0.7960692179334196
97,0.39272895268118113
98,0.7012267914226245
99,0.5898665463140654
100,0.7605913844002273
