,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme
485,15,TD_U,Data10_,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1
486,50,TD_U,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
487,100,TD_U,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
488,150,TD_U,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
489,199,TD_U,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,average,TD_U,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
535,15,TD_U,Data11_,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0
536,50,TD_U,Data11_,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
537,100,TD_U,Data11_,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
538,150,TD_U,Data11_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
539,199,TD_U,Data11_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,average,TD_U,Data11_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
585,15,TD_U,Data12_,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
586,50,TD_U,Data12_,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
587,100,TD_U,Data12_,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1
588,150,TD_U,Data12_,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
589,199,TD_U,Data12_,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,average,TD_U,Data12_,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
635,15,TD_U,Data13_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
636,50,TD_U,Data13_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
637,100,TD_U,Data13_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
638,150,TD_U,Data13_,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
639,199,TD_U,Data13_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,average,TD_U,Data13_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,15,TD_U,Data1_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,50,TD_U,Data1_,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1
