Title,Year,Length,Violence_time,Injuries,Fatal_injuries,Good.neutral_injuries,Good.neutral_fatalities,Bad_injuries,class
Snow_White_and_the_Seven_Dwarfs,1937.0,5040.0,474.0,2.0,1.0,1.0,0.0,1.0,minority
Fantasia,1940.0,7200.0,307.0,1.0,1.0,1.0,1.0,0.0,majority
Pinocchio,1940.0,5280.0,432.0,1.0,0.0,1.0,0.0,0.0,majority
Dumbo,1941.0,3780.0,75.0,0.0,0.0,0.0,0.0,0.0,majority
Bambi,1942.0,4140.0,252.0,2.0,1.0,2.0,1.0,0.0,majority
The_Three_Caballeros,1945.0,4260.0,210.0,0.0,0.0,0.0,0.0,0.0,majority
Fun_and_Fancy_Free,1947.0,4380.0,552.0,0.0,0.0,0.0,0.0,0.0,majority
The_Adventures_of_Ichabod_and_Mr._Toad,1949.0,4080.0,527.0,0.0,0.0,0.0,0.0,0.0,majority
Cinderella,1950.0,4560.0,273.0,1.0,1.0,0.0,0.0,1.0,minority
Alice_in_Wonderland,1951.0,4440.0,316.0,0.0,0.0,0.0,0.0,0.0,majority
Peter_Pan,1953.0,4560.0,863.0,2.0,1.0,1.0,0.0,1.0,minority
Lady_and_the_Tramp,1955.0,4560.0,351.0,3.0,1.0,2.0,0.0,1.0,minority
Sleeping_Beauty,1959.0,4500.0,599.0,1.0,1.0,0.0,0.0,1.0,minority
101_Dalmations,1961.0,4740.0,492.0,0.0,0.0,0.0,0.0,0.0,majority
The_Sword_in_the_Stone,1963.0,4740.0,1012.0,0.0,0.0,0.0,0.0,0.0,majority
The_Jungle_Book,1967.0,4680.0,676.0,3.0,0.0,3.0,0.0,0.0,majority
A_Boy_Named_Charlie_Brown,1969.0,5100.0,109.0,0.0,0.0,0.0,0.0,0.0,majority
The_Aristocats,1970.0,4740.0,354.0,0.0,0.0,0.0,0.0,0.0,majority
Snoopy_Come_Home,1972.0,4800.0,500.0,1.0,0.0,1.0,0.0,0.0,majority
Charlottes_Web,1973.0,5640.0,164.0,0.0,0.0,0.0,0.0,0.0,majority
Robin_Hood,1973.0,4980.0,814.0,0.0,0.0,0.0,0.0,0.0,majority
The_Many_Adventures_of_Winnie_the_Pooh,1977.0,4980.0,65.0,0.0,0.0,0.0,0.0,0.0,majority
The_Rescuers,1977.0,4560.0,675.0,0.0,0.0,0.0,0.0,0.0,majority
The_Fox_and_the_Hound,1981.0,4980.0,717.0,3.0,1.0,2.0,1.0,1.0,majority
The_Last_Unicorn,1982.0,5100.0,743.0,5.0,3.0,3.0,1.0,2.0,minority
The_Secret_of_NIMH,1982.0,5200.0,522.0,4.0,3.0,3.0,2.0,1.0,minority
The_Care_Bears_Movie,1985.0,4680.0,471.0,0.0,0.0,0.0,0.0,0.0,majority
An_American_Tail,1986.0,4860.0,701.0,0.0,0.0,0.0,0.0,0.0,majority
The_Great_Mouse_Detective,1986.0,4380.0,798.0,2.0,2.0,0.0,0.0,2.0,minority
The_Land_Before_Time,1988.0,4140.0,484.0,3.0,2.0,1.0,1.0,2.0,minority
