hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,minority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,majority
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,minority
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,majority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,majority
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,majority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,majority
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,majority
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,majority
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,majority
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,majority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,minority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,majority
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,minority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,majority
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,majority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,minority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,majority
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,majority
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,majority
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,majority
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,minority
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,majority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,minority
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,minority
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,majority
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,majority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,minority
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,majority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,majority
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,majority
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,majority
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,majority
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,majority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,majority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,majority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,majority
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,majority
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,majority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,minority
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,majority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,majority
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,majority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,majority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,majority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,majority
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,majority
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,minority
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,minority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,minority
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,majority
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,majority
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,majority
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,minority
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,minority
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,majority
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,majority
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,majority
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,majority
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,majority
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,majority
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,majority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,majority
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,minority
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,majority
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,majority
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,majority
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,majority
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,majority
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,majority
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,majority
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,majority
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,minority
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,minority
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,majority
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,minority
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,majority
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,minority
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,majority
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,majority
