subj,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,comp,class
1.0,2.5,1.9,1.8,3.6,1.7,3.0,2.4,2.5,2.4,2.3,1.8,1.4,2.3,2.2,22.0,majority
2.0,3.5,3.5,3.8,3.5,3.7,4.0,3.9,4.0,2.4,3.1,3.5,3.6,3.2,3.2,63.4,minority
3.0,4.0,3.9,3.5,3.0,3.0,3.1,3.2,3.4,3.2,2.6,3.3,3.3,2.9,2.7,48.2,minority
4.0,3.8,3.4,2.9,3.2,3.2,3.2,3.4,3.3,2.2,2.5,3.2,2.1,2.5,2.7,41.2,majority
5.0,3.6,3.6,3.0,4.1,3.1,3.4,4.0,3.6,3.0,3.9,3.5,1.9,2.4,2.1,29.1,minority
6.0,2.5,2.6,2.6,3.7,2.9,3.6,2.4,1.8,2.6,3.7,2.6,2.2,2.2,2.1,31.3,minority
7.0,4.9,4.9,4.5,2.6,4.7,4.4,3.6,3.5,1.6,1.3,4.4,1.4,1.1,0.9,26.2,majority
8.0,3.3,3.2,3.5,2.8,3.3,3.7,2.9,2.6,3.0,2.3,3.2,2.8,2.5,2.7,52.8,minority
9.0,2.6,2.8,2.8,2.9,2.9,3.8,1.8,1.6,2.1,2.4,2.7,2.5,1.0,2.2,43.9,majority
10.0,2.3,2.5,1.8,4.5,2.1,2.1,3.7,3.6,3.2,4.0,2.0,2.4,1.3,2.3,15.2,majority
11.0,4.4,4.2,3.6,3.0,3.4,3.7,2.4,2.6,2.2,2.4,3.0,1.5,1.5,1.4,42.5,majority
12.0,4.2,3.8,3.1,4.5,2.9,2.0,3.9,1.7,2.6,4.3,3.6,1.6,0.8,0.6,32.1,majority
13.0,3.8,3.9,4.1,3.1,3.5,3.7,3.2,2.7,2.3,1.8,3.4,1.8,1.3,1.6,60.9,majority
14.0,2.5,2.0,1.6,4.9,2.0,3.3,2.9,3.6,3.6,4.8,1.7,1.8,1.5,1.6,19.4,majority
15.0,4.3,4.1,4.3,1.7,4.3,4.9,2.1,1.6,1.1,1.7,3.9,2.2,2.0,2.7,80.4,majority
16.0,2.6,2.0,1.8,3.6,1.8,2.9,2.4,2.6,2.4,2.3,1.9,1.9,2.0,1.8,20.8,majority
