row_number,lugs_1989,lugs_1990,class
1.0,1.0,5.0,minority
2.0,3.0,8.0,minority
3.0,3.0,11.0,minority
4.0,3.0,9.0,majority
5.0,5.0,9.5,majority
6.0,3.5,10.0,majority
7.0,3.0,12.0,majority
8.0,4.5,10.0,majority
9.0,5.0,11.5,majority
10.0,5.0,10.0,majority
11.0,6.0,11.0,majority
12.0,5.0,10.0,majority
13.0,4.0,10.5,majority
14.0,6.0,10.0,majority
15.0,5.0,11.0,majority
16.0,6.5,11.0,majority
17.0,4.0,11.5,majority
18.0,6.0,12.0,majority
19.0,3.0,12.5,majority
20.0,6.0,13.0,majority
21.0,5.0,11.0,majority
22.0,8.0,11.0,majority
23.0,4.5,11.0,majority
24.0,4.0,13.0,majority
25.0,4.0,11.0,majority
26.0,6.5,13.0,majority
27.0,4.0,12.0,minority
28.0,5.0,14.0,majority
29.0,3.0,10.0,minority
30.0,5.5,13.0,minority
31.0,3.0,8.0,minority
32.0,2.0,7.5,minority
33.0,2.0,8.0,minority
34.0,2.0,8.0,minority
35.0,2.0,7.0,minority
36.0,3.0,10.0,minority
37.0,2.0,7.0,majority
38.0,2.0,10.0,minority
39.0,2.0,8.0,majority
40.0,2.0,10.0,minority
41.0,2.0,9.0,majority
42.0,1.5,10.0,minority
43.0,1.5,8.0,minority
44.0,1.5,11.0,minority
45.0,1.0,10.0,majority
46.0,1.0,7.0,minority
47.0,1.0,5.0,minority
48.0,1.0,7.0,minority
49.0,0.5,8.0,minority
50.0,0.5,6.0,minority
51.0,0.0,7.5,minority
52.0,0.0,2.5,minority
