col_1,col_2,col_3,col_4,col_5,class
1.0,508.0,235.0,3944.0,325.0,minority
2.0,564.0,231.0,4578.0,323.0,minority
3.0,322.0,270.0,4011.0,328.0,minority
4.0,846.0,261.0,5233.0,305.0,minority
5.0,871.0,300.0,4780.0,303.0,minority
6.0,774.0,317.0,5889.0,307.0,minority
7.0,856.0,387.0,5663.0,301.0,minority
8.0,889.0,285.0,5759.0,310.0,minority
9.0,715.0,300.0,4894.0,300.0,minority
10.0,753.0,221.0,5012.0,324.0,minority
11.0,649.0,264.0,4908.0,329.0,minority
12.0,830.0,308.0,5753.0,320.0,minority
13.0,738.0,379.0,5439.0,337.0,minority
14.0,659.0,342.0,4634.0,328.0,minority
15.0,664.0,378.0,4921.0,330.0,minority
16.0,572.0,232.0,4869.0,318.0,minority
17.0,701.0,231.0,4672.0,309.0,minority
18.0,443.0,246.0,4782.0,333.0,minority
19.0,446.0,230.0,4296.0,330.0,minority
20.0,615.0,268.0,4827.0,318.0,minority
21.0,661.0,337.0,5057.0,304.0,minority
22.0,772.0,344.0,5540.0,328.0,majority
23.0,766.0,330.0,5331.0,323.0,majority
24.0,631.0,261.0,4715.0,317.0,majority
25.0,390.0,214.0,3828.0,310.0,majority
26.0,450.0,245.0,4120.0,321.0,majority
27.0,476.0,233.0,3817.0,342.0,majority
28.0,603.0,250.0,4243.0,339.0,majority
29.0,805.0,243.0,4647.0,287.0,majority
30.0,523.0,216.0,3967.0,325.0,majority
31.0,588.0,212.0,3946.0,315.0,majority
32.0,584.0,208.0,3724.0,332.0,majority
33.0,445.0,215.0,3448.0,358.0,majority
34.0,500.0,221.0,3680.0,320.0,majority
35.0,661.0,244.0,3825.0,355.0,majority
36.0,680.0,234.0,4189.0,306.0,majority
37.0,797.0,269.0,4336.0,335.0,majority
38.0,534.0,302.0,4418.0,335.0,majority
39.0,541.0,268.0,4323.0,344.0,majority
40.0,605.0,323.0,4813.0,331.0,majority
41.0,785.0,304.0,5046.0,324.0,majority
42.0,698.0,317.0,3764.0,366.0,majority
43.0,796.0,332.0,4504.0,340.0,majority
44.0,804.0,315.0,4005.0,378.0,majority
45.0,809.0,291.0,5560.0,330.0,majority
46.0,726.0,312.0,4989.0,313.0,majority
47.0,671.0,316.0,4697.0,305.0,majority
48.0,909.0,332.0,5438.0,307.0,majority
49.0,484.0,546.0,5613.0,386.0,majority
50.0,831.0,311.0,5309.0,333.0,majority
