A0,A1,B0,B1,Irrelevant,Correlated,class
0,0,0,0,0,0,majority
0,0,0,0,1,0,majority
0,0,0,1,0,0,majority
0,0,0,1,1,0,majority
0,0,1,0,0,1,majority
0,0,1,0,1,0,majority
0,0,1,1,0,0,minority
0,0,1,1,1,1,minority
0,1,0,0,0,1,majority
0,1,0,0,1,0,majority
0,1,0,1,0,1,majority
0,1,0,1,1,0,majority
0,1,1,0,0,0,majority
0,1,1,0,1,0,majority
0,1,1,1,0,0,minority
0,1,1,1,1,1,minority
1,0,0,0,0,1,majority
1,0,0,0,1,0,majority
1,0,0,1,0,0,majority
1,0,0,1,1,0,majority
1,0,1,0,0,0,majority
1,0,1,0,1,0,majority
1,0,1,1,0,1,minority
1,0,1,1,1,1,minority
1,1,0,0,0,0,minority
1,1,0,0,1,1,minority
1,1,0,1,0,1,minority
1,1,0,1,1,1,minority
1,1,1,0,0,1,minority
1,1,1,0,1,1,minority
1,1,1,1,0,1,minority
1,1,1,1,1,0,minority
0,0,0,0,0,0,majority
0,0,0,0,1,0,majority
0,0,0,1,0,0,majority
0,0,0,1,1,0,majority
0,0,1,0,0,0,majority
0,0,1,0,1,0,majority
0,0,1,1,0,1,minority
0,0,1,1,1,1,minority
0,1,0,0,0,0,majority
0,1,0,0,1,0,majority
0,1,0,1,0,0,majority
0,1,0,1,1,0,majority
0,1,1,0,0,0,majority
0,1,1,0,1,0,majority
0,1,1,1,0,1,minority
0,1,1,1,1,1,minority
1,0,0,0,0,0,majority
1,0,0,0,1,0,majority
1,0,0,1,0,0,majority
1,0,0,1,1,0,majority
1,0,1,0,0,0,majority
1,0,1,0,1,0,majority
1,0,1,1,0,1,minority
1,0,1,1,1,1,minority
1,1,0,0,0,1,minority
1,1,0,0,1,1,minority
1,1,0,1,0,1,minority
1,1,0,1,1,1,minority
1,1,1,0,0,1,minority
1,1,1,0,1,1,minority
1,1,1,1,0,1,minority
1,1,1,1,1,1,minority
0,0,0,0,0,0,majority
0,0,0,0,1,0,majority
0,0,0,1,0,0,majority
0,0,0,1,1,0,majority
0,0,1,0,0,0,majority
0,0,1,0,1,0,majority
0,0,1,1,0,1,minority
0,0,1,1,1,1,minority
0,1,0,0,0,0,majority
0,1,0,0,1,0,majority
0,1,0,1,0,0,majority
0,1,0,1,1,0,majority
0,1,1,0,0,0,majority
0,1,1,0,1,0,majority
0,1,1,1,0,1,minority
0,1,1,1,1,1,minority
1,0,0,0,0,0,majority
1,0,0,0,1,0,majority
1,0,0,1,0,0,majority
1,0,0,1,1,0,majority
1,0,1,0,0,0,majority
1,0,1,0,1,0,majority
1,0,1,1,0,1,minority
1,0,1,1,1,1,minority
1,1,0,0,0,1,minority
1,1,0,0,1,1,minority
1,1,0,1,0,1,minority
1,1,0,1,1,1,minority
1,1,1,0,0,1,minority
1,1,1,0,1,1,minority
1,1,1,1,0,1,minority
1,1,1,1,1,1,minority
0,0,0,0,0,0,majority
0,0,0,0,0,1,majority
0,0,0,0,1,0,majority
0,0,0,0,1,1,majority
0,0,0,1,0,0,majority
0,0,0,1,0,1,majority
0,0,0,1,1,0,majority
0,0,0,1,1,1,majority
0,0,1,0,0,0,majority
0,0,1,0,0,1,majority
0,0,1,0,1,0,majority
0,0,1,0,1,1,majority
0,0,1,1,0,0,minority
0,0,1,1,0,1,minority
0,0,1,1,1,0,minority
0,0,1,1,1,1,minority
0,1,0,0,0,0,majority
0,1,0,0,0,1,majority
0,1,0,0,1,0,majority
0,1,0,0,1,1,majority
0,1,0,1,0,0,majority
0,1,0,1,0,1,majority
0,1,0,1,1,0,majority
0,1,0,1,1,1,majority
0,1,1,0,0,0,majority
0,1,1,0,0,1,majority
0,1,1,0,1,0,majority
0,1,1,0,1,1,majority
0,1,1,1,0,0,minority
0,1,1,1,0,1,minority
0,1,1,1,1,0,minority
0,1,1,1,1,1,minority
1,0,0,0,0,0,majority
1,0,0,0,0,1,majority
1,0,0,0,1,0,majority
1,0,0,0,1,1,majority
1,0,0,1,0,0,majority
1,0,0,1,0,1,majority
1,0,0,1,1,0,majority
1,0,0,1,1,1,majority
1,0,1,0,0,0,majority
1,0,1,0,0,1,majority
1,0,1,0,1,0,majority
1,0,1,0,1,1,majority
1,0,1,1,0,0,minority
1,0,1,1,0,1,minority
1,0,1,1,1,0,minority
1,0,1,1,1,1,minority
1,1,0,0,0,0,minority
1,1,0,0,0,1,minority
1,1,0,0,1,0,minority
1,1,0,0,1,1,minority
1,1,0,1,0,0,minority
1,1,0,1,0,1,minority
1,1,0,1,1,0,minority
1,1,0,1,1,1,minority
1,1,1,0,0,0,minority
1,1,1,0,0,1,minority
1,1,1,0,1,0,minority
1,1,1,0,1,1,minority
1,1,1,1,0,0,minority
1,1,1,1,0,1,minority
1,1,1,1,1,0,minority
1,1,1,1,1,1,minority
