sex,GMAT,class
0,590.0,minority
0,550.0,majority
1,680.0,majority
0,520.0,minority
0,560.0,minority
0,540.0,majority
1,500.0,minority
1,600.0,minority
0,440.0,minority
0,680.0,majority
0,520.0,majority
0,610.0,majority
0,490.0,minority
0,620.0,minority
0,580.0,minority
0,600.0,minority
1,420.0,minority
0,590.0,majority
0,570.0,majority
0,640.0,majority
0,540.0,majority
0,530.0,majority
0,660.0,majority
0,540.0,majority
0,570.0,majority
0,710.0,majority
0,450.0,minority
1,480.0,minority
0,650.0,minority
0,580.0,majority
1,630.0,minority
0,590.0,majority
1,550.0,minority
1,590.0,minority
1,610.0,minority
0,490.0,minority
0,600.0,majority
0,570.0,minority
0,580.0,minority
0,520.0,majority
0,610.0,majority
0,620.0,majority
0,530.0,minority
0,670.0,majority
0,550.0,majority
0,530.0,minority
1,500.0,minority
0,570.0,majority
0,570.0,minority
1,640.0,majority
0,600.0,majority
0,550.0,majority
0,720.0,majority
1,570.0,minority
0,570.0,minority
1,610.0,majority
0,530.0,minority
0,720.0,majority
0,580.0,majority
0,610.0,minority
0,470.0,majority
