Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working.,Husbands_occupation,Standard.of.living_index,Media_exposure,class
24.0,2,3,3.0,1,1,2,3,0,minority
45.0,1,3,10.0,1,1,3,4,0,minority
43.0,2,3,7.0,1,1,3,4,0,minority
42.0,3,2,9.0,1,1,3,3,0,minority
36.0,3,3,8.0,1,1,3,2,0,minority
19.0,4,4,0.0,1,1,3,3,0,minority
38.0,2,3,6.0,1,1,3,2,0,minority
21.0,3,3,1.0,1,0,3,2,0,minority
27.0,2,3,3.0,1,1,3,4,0,minority
45.0,1,1,8.0,1,1,2,2,1,minority
38.0,1,3,2.0,1,0,3,3,1,minority
42.0,1,4,4.0,1,1,1,3,0,minority
44.0,4,4,1.0,1,0,1,4,0,minority
42.0,2,4,1.0,1,0,3,3,0,minority
38.0,3,4,2.0,1,1,2,3,0,minority
26.0,2,4,0.0,1,1,4,1,0,minority
48.0,1,1,7.0,1,1,2,4,0,minority
39.0,2,2,6.0,1,1,2,4,0,minority
37.0,2,2,8.0,1,1,2,3,0,minority
39.0,2,1,5.0,1,1,2,1,1,minority
26.0,3,4,1.0,1,0,4,1,0,minority
24.0,3,4,0.0,1,0,3,1,0,minority
46.0,4,4,1.0,0,1,1,4,0,minority
39.0,4,4,1.0,1,1,1,4,0,minority
48.0,4,4,5.0,1,1,1,4,0,minority
40.0,2,4,8.0,1,1,3,3,0,minority
38.0,4,4,1.0,1,0,1,4,0,minority
29.0,4,4,0.0,1,0,1,4,0,minority
24.0,4,4,0.0,1,0,2,2,0,minority
43.0,1,2,8.0,1,1,2,4,0,minority
31.0,3,4,2.0,1,1,1,4,0,minority
31.0,4,4,2.0,1,1,3,2,0,minority
26.0,2,4,0.0,1,0,1,2,0,minority
33.0,2,2,2.0,1,1,3,1,0,minority
24.0,2,3,1.0,1,1,3,3,0,minority
42.0,1,3,9.0,1,1,3,2,1,minority
43.0,1,2,8.0,1,0,3,1,0,minority
25.0,3,3,4.0,1,1,3,2,0,minority
42.0,2,2,3.0,1,1,3,4,0,minority
28.0,2,2,1.0,1,1,2,4,0,minority
28.0,1,1,3.0,1,1,3,1,0,minority
47.0,2,3,0.0,1,0,1,3,0,minority
48.0,2,4,2.0,1,1,1,3,0,minority
40.0,4,4,2.0,0,1,1,4,0,minority
