Time_index,Season,Month,Unemployment_rate,class
1.0,Winter,January,8.0,minority
2.0,Winter,February,8.2,minority
3.0,Spring,March,8.0,minority
4.0,Spring,April,8.75,majority
5.0,Spring,May,7.25,minority
6.0,Summer,June,7.25,minority
7.0,Summer,July,7.75,majority
8.0,Summer,August,7.5,majority
9.0,Autumn,September,7.25,majority
10.0,Autumn,October,7.25,minority
11.0,Autumn,November,8.0,minority
12.0,Winter,December,8.5,minority
13.0,Winter,January,10.25,majority
14.0,Winter,February,11.25,majority
15.0,Spring,March,11.0,majority
16.0,Spring,April,12.5,majority
17.0,Spring,May,14.0,majority
18.0,Summer,June,14.0,majority
19.0,Summer,July,14.25,majority
20.0,Summer,August,12.75,majority
21.0,Autumn,September,12.0,majority
22.0,Autumn,October,12.25,majority
23.0,Autumn,November,12.5,majority
24.0,Winter,December,12.25,minority
25.0,Winter,January,14.0,minority
26.0,Winter,February,14.25,majority
27.0,Spring,March,13.25,majority
28.0,Spring,April,12.25,majority
29.0,Spring,May,11.5,majority
30.0,Summer,June,11.0,minority
31.0,Summer,July,12.0,majority
32.0,Summer,August,11.0,majority
33.0,Autumn,September,10.75,majority
34.0,Autumn,October,11.75,majority
35.0,Autumn,November,12.0,majority
36.0,Winter,December,14.5,minority
37.0,Winter,January,16.0,minority
38.0,Winter,February,16.25,minority
39.0,Spring,March,17.0,majority
40.0,Spring,April,15.5,majority
41.0,Spring,May,14.25,majority
42.0,Summer,June,14.25,majority
43.0,Summer,July,14.75,majority
44.0,Summer,August,14.5,majority
45.0,Autumn,September,14.5,majority
46.0,Autumn,October,15.0,majority
47.0,Autumn,November,16.5,minority
48.0,Winter,December,17.25,majority
49.0,Winter,January,17.0,majority
50.0,Winter,February,16.5,majority
51.0,Spring,March,17.0,majority
52.0,Spring,April,15.5,majority
53.0,Spring,May,14.75,majority
54.0,Summer,June,14.5,majority
55.0,Summer,July,13.25,majority
56.0,Summer,August,13.5,majority
57.0,Autumn,September,12.5,majority
58.0,Autumn,October,12.75,minority
59.0,Autumn,November,11.75,majority
60.0,Winter,December,12.0,minority
61.0,Winter,January,13.0,majority
62.0,Winter,February,12.75,majority
63.0,Spring,March,12.5,majority
64.0,Spring,April,11.25,majority
65.0,Spring,May,11.25,majority
66.0,Summer,June,11.25,minority
67.0,Summer,July,11.25,majority
68.0,Summer,August,10.5,minority
69.0,Autumn,September,10.0,majority
70.0,Autumn,October,10.25,minority
71.0,Autumn,November,11.0,minority
72.0,Winter,December,10.75,minority
73.0,Winter,January,12.5,minority
74.0,Winter,February,10.5,minority
75.0,Spring,March,10.75,majority
76.0,Spring,April,10.5,majority
77.0,Spring,May,10.0,minority
78.0,Summer,June,10.5,majority
79.0,Summer,July,11.0,minority
80.0,Summer,August,10.0,majority
81.0,Autumn,September,10.0,majority
82.0,Autumn,October,9.75,minority
83.0,Autumn,November,9.0,minority
84.0,Winter,December,7.75,minority
85.0,Winter,January,9.5,minority
86.0,Winter,February,9.5,minority
87.0,Spring,March,10.0,minority
88.0,Spring,April,9.25,minority
89.0,Spring,May,9.5,minority
90.0,Summer,June,9.5,majority
91.0,Summer,July,9.25,majority
92.0,Summer,August,8.0,minority
93.0,Autumn,September,8.5,minority
94.0,Autumn,October,8.25,minority
95.0,Autumn,November,8.25,minority
96.0,Winter,December,7.75,minority
97.0,Winter,January,8.0,minority
98.0,Winter,February,9.0,majority
99.0,Spring,March,8.5,minority
100.0,Spring,April,8.75,majority
101.0,Spring,May,8.25,minority
102.0,Summer,June,9.0,minority
103.0,Summer,July,8.75,majority
104.0,Summer,August,8.5,minority
105.0,Autumn,September,7.5,minority
106.0,Autumn,October,7.0,minority
107.0,Autumn,November,7.5,minority
108.0,Winter,December,8.5,minority
