heart_rate,sleep_state,y
152.0,4,0
156.0,4,0
147.0,4,0
145.0,4,0
129.0,4,0
131.0,4,0
137.0,4,0
138.0,4,0
139.0,4,0
141.0,4,0
142.0,4,0
128.0,4,0
142.0,4,0
155.0,4,0
150.0,4,0
146.0,4,0
150.0,4,0
146.0,4,0
151.0,4,0
145.0,4,0
146.0,4,0
146.0,4,0
139.0,4,0
135.0,4,0
141.0,4,0
145.0,4,0
149.0,4,0
140.0,4,0
146.0,4,0
147.0,4,0
144.0,4,0
140.0,4,0
135.0,4,0
118.0,4,0
120.0,4,0
135.0,4,0
146.0,4,0
139.0,4,0
138.0,4,0
129.0,4,0
130.0,4,0
128.0,4,0
125.0,4,0
127.0,4,0
131.0,4,0
132.0,4,0
145.0,4,0
153.0,4,0
154.0,4,0
145.0,4,0
146.0,4,0
140.0,4,0
134.0,4,0
128.0,4,0
127.0,4,0
140.0,4,0
143.0,4,0
138.0,4,0
124.0,4,0
123.0,4,0
131.0,4,0
151.0,4,0
136.0,4,0
126.0,2,0
127.0,2,0
129.0,2,0
124.0,2,0
128.0,2,0
130.0,2,0
121.0,2,0
141.0,2,0
128.0,2,0
130.0,2,0
124.0,2,0
128.0,1,0
122.0,1,0
130.0,1,0
130.0,1,0
135.0,1,0
125.0,1,0
123.0,1,0
127.0,1,0
125.0,1,0
125.0,1,0
129.0,1,0
128.0,1,0
130.0,1,0
128.0,1,0
130.0,1,0
129.0,1,0
129.0,1,0
129.0,1,0
130.0,1,0
131.0,1,0
131.0,1,0
130.0,1,0
131.0,1,0
131.0,1,0
132.0,1,0
129.0,1,0
131.0,1,0
131.0,1,0
128.0,1,0
127.0,1,0
128.0,1,0
129.0,1,0
131.0,1,0
131.0,1,0
131.0,1,0
131.0,1,0
129.0,1,0
125.0,1,0
124.0,1,0
130.0,1,0
125.0,1,0
126.0,1,0
127.0,1,0
124.0,1,0
122.0,1,0
128.0,1,0
128.0,1,0
126.0,1,0
130.0,1,0
114.0,1,0
123.0,1,0
116.0,3,0
127.0,3,0
123.0,3,0
131.0,3,0
125.0,3,0
123.0,3,0
125.0,3,0
123.0,3,0
114.0,3,0
120.0,3,1
130.0,3,0
126.0,3,0
112.0,3,0
114.0,3,0
125.0,3,0
128.0,3,0
115.0,3,1
121.0,3,0
124.0,3,0
128.0,3,0
118.0,3,1
119.0,3,1
121.0,3,1
130.0,3,1
115.0,3,1
124.0,3,1
129.0,3,1
125.0,3,1
120.0,3,1
118.0,3,1
121.0,3,1
120.0,3,1
119.0,3,1
127.0,3,1
120.0,3,1
124.0,3,1
121.0,3,1
120.0,3,1
122.0,3,1
118.0,3,1
112.0,3,1
115.0,3,1
120.0,3,1
123.0,3,1
125.0,3,1
113.0,2,1
124.0,2,1
133.0,2,1
117.0,2,1
121.0,2,1
121.0,2,1
117.0,2,1
124.0,2,1
133.0,2,1
129.0,2,1
120.0,2,1
129.0,2,1
114.0,2,1
119.0,2,1
123.0,2,1
131.0,2,1
114.0,2,1
124.0,1,1
123.0,1,1
128.0,1,1
117.0,1,1
118.0,1,1
118.0,1,1
120.0,1,1
119.0,1,1
120.0,1,1
124.0,1,1
126.0,1,1
124.0,1,1
122.0,1,1
122.0,1,1
118.0,1,1
123.0,1,1
122.0,1,1
124.0,1,1
124.0,1,1
125.0,1,1
124.0,1,1
122.0,1,1
122.0,1,1
124.0,1,1
124.0,1,1
121.0,1,1
123.0,1,1
123.0,1,1
124.0,1,1
121.0,1,1
124.0,1,1
124.0,1,1
123.0,1,1
120.0,1,1
123.0,1,1
121.0,1,1
124.0,1,1
122.0,1,1
123.0,1,1
124.0,1,1
122.0,1,1
122.0,1,1
119.0,1,1
123.0,1,1
120.0,1,1
121.0,1,1
120.0,1,1
122.0,1,1
119.0,1,1
119.0,1,1
116.0,1,1
119.0,1,1
117.0,1,1
120.0,1,1
110.0,1,1
112.0,1,1
112.0,1,1
117.0,1,1
113.0,1,1
114.0,1,1
121.0,1,1
123.0,1,1
111.0,3,1
117.0,3,1
129.0,3,1
119.0,3,1
110.0,3,1
117.0,3,1
114.0,3,1
113.0,3,1
117.0,3,1
115.0,4,1
140.0,4,1
130.0,4,1
122.0,4,1
123.0,4,1
106.0,4,1
118.0,4,1
126.0,4,1
117.0,4,1
117.0,4,1
119.0,4,1
132.0,4,1
142.0,4,1
115.0,4,1
128.0,4,1
112.0,4,1
112.0,4,1
118.0,4,1
138.0,4,1
109.0,4,1
118.0,4,1
119.0,4,1
113.0,4,1
124.0,4,1
128.0,4,1
122.0,4,1
123.0,4,1
114.0,4,1
113.0,4,1
133.0,4,1
116.0,4,1
119.0,4,1
111.0,3,1
113.0,3,1
121.0,3,1
121.0,3,1
124.0,3,1
112.0,3,1
122.0,3,1
118.0,3,1
127.0,3,1
115.0,3,1
119.0,3,1
123.0,3,1
111.0,3,1
116.0,3,1
124.0,3,1
123.0,3,1
123.0,3,1
116.0,3,1
124.0,3,1
132.0,3,1
116.0,3,1
126.0,1,1
114.0,1,1
120.0,1,1
125.0,1,1
121.0,1,1
119.0,1,1
124.0,1,1
126.0,1,1
127.0,1,1
117.0,1,1
122.0,1,1
119.0,1,1
120.0,1,1
128.0,1,1
125.0,1,1
130.0,1,1
130.0,1,1
124.0,1,1
118.0,1,1
122.0,1,1
116.0,1,1
122.0,1,1
119.0,1,1
120.0,1,1
128.0,1,1
125.0,1,1
128.0,1,1
126.0,1,1
120.0,1,1
120.0,1,1
118.0,1,1
113.0,1,1
119.0,1,1
118.0,1,1
123.0,1,1
123.0,1,1
122.0,1,1
123.0,1,1
122.0,1,1
122.0,1,1
117.0,1,1
119.0,1,1
123.0,1,1
120.0,1,1
115.0,1,1
120.0,1,1
122.0,1,1
118.0,1,1
102.0,1,1
111.0,1,1
130.0,1,1
121.0,1,1
140.0,1,1
122.0,2,1
114.0,2,1
118.0,2,1
122.0,2,1
125.0,3,1
126.0,3,1
123.0,3,1
127.0,3,1
114.0,3,1
122.0,3,1
124.0,3,1
124.0,3,1
134.0,4,1
133.0,4,1
117.0,3,1
120.0,3,1
114.0,3,1
124.0,3,1
127.0,3,1
123.0,3,1
137.0,3,1
140.0,3,1
120.0,3,1
120.0,3,1
126.0,3,1
121.0,3,1
135.0,3,1
123.0,3,1
138.0,4,1
147.0,4,1
157.0,4,1
164.0,4,1
155.0,4,1
151.0,4,1
151.0,4,1
153.0,4,1
148.0,4,1
152.0,4,1
152.0,4,1
150.0,4,1
150.0,4,1
144.0,4,1
140.0,4,1
148.0,4,1
136.0,4,1
132.0,4,1
137.0,4,1
146.0,4,1
151.0,4,1
136.0,4,1
137.0,4,1
143.0,4,1
133.0,4,1
128.0,4,1
132.0,4,1
147.0,4,1
152.0,4,1
130.0,4,1
129.0,4,1
132.0,4,1
140.0,4,1
132.0,4,1
129.0,4,1
156.0,4,0
157.0,4,0
158.0,4,0
161.0,4,0
163.0,4,0
159.0,4,0
157.0,4,0
156.0,4,0
155.0,4,0
164.0,4,0
147.0,4,0
132.0,4,0
135.0,4,0
137.0,4,0
128.0,4,0
133.0,4,0
133.0,4,0
130.0,4,0
132.0,4,0
140.0,4,0
144.0,4,0
162.0,4,0
143.0,4,0
158.0,4,0
157.0,4,0
155.0,4,0
147.0,2,0
140.0,2,0
128.0,3,0
131.0,3,0
124.0,3,0
130.0,3,0
130.0,3,0
138.0,3,0
135.0,3,0
134.0,3,0
140.0,3,0
139.0,3,0
130.0,3,0
127.0,3,0
129.0,3,0
147.0,3,0
137.0,3,0
129.0,3,0
141.0,3,0
135.0,3,0
135.0,3,0
141.0,3,0
147.0,3,0
137.0,3,0
138.0,3,0
144.0,3,0
140.0,3,0
135.0,3,0
148.0,3,0
154.0,1,0
136.0,1,0
130.0,1,0
132.0,1,0
131.0,1,0
131.0,1,0
136.0,1,0
139.0,1,0
131.0,1,0
136.0,1,0
133.0,1,0
134.0,1,0
136.0,1,0
134.0,1,0
131.0,1,0
132.0,1,0
124.0,1,0
129.0,1,0
130.0,1,0
133.0,1,0
132.0,1,0
130.0,1,0
124.0,1,0
125.0,1,0
127.0,1,0
127.0,1,0
130.0,1,0
128.0,1,0
129.0,1,0
129.0,1,0
129.0,1,0
127.0,1,0
129.0,1,0
130.0,1,0
129.0,1,0
129.0,1,0
129.0,1,0
129.0,1,0
131.0,1,0
130.0,1,0
129.0,1,0
127.0,1,0
128.0,1,0
129.0,1,0
130.0,1,0
128.0,1,0
126.0,1,1
126.0,1,1
127.0,1,1
129.0,1,1
129.0,1,1
129.0,1,1
129.0,1,1
128.0,1,1
128.0,1,1
128.0,1,1
126.0,1,1
126.0,1,1
127.0,1,1
125.0,1,1
128.0,1,1
124.0,1,1
127.0,1,1
118.0,1,1
118.0,1,1
120.0,1,1
124.0,1,1
135.0,1,1
126.0,3,1
132.0,3,1
135.0,3,1
129.0,3,1
131.0,3,1
126.0,3,1
117.0,3,1
136.0,3,1
137.0,3,1
126.0,3,1
126.0,3,1
124.0,3,1
122.0,3,1
122.0,3,1
124.0,3,1
124.0,3,1
138.0,3,1
145.0,3,1
124.0,3,1
128.0,3,1
125.0,3,1
125.0,3,1
142.0,3,1
125.0,3,1
123.0,3,1
130.0,3,1
133.0,3,1
135.0,3,1
119.0,3,1
130.0,3,1
131.0,3,1
128.0,3,1
139.0,3,1
132.0,3,1
124.0,3,1
128.0,3,1
136.0,3,1
126.0,3,1
129.0,3,1
129.0,3,1
130.0,3,1
123.0,3,1
129.0,3,1
129.0,3,1
137.0,3,1
125.0,3,1
137.0,3,1
141.0,3,1
121.0,2,1
124.0,2,1
126.0,2,1
132.0,2,1
124.0,2,1
127.0,2,1
138.0,2,1
120.0,2,1
127.0,2,1
125.0,2,1
132.0,2,1
150.0,2,1
120.0,2,1
127.0,2,1
133.0,2,1
123.0,2,1
134.0,2,1
135.0,2,1
121.0,2,1
143.0,2,1
119.0,2,1
130.0,2,1
132.0,2,1
127.0,2,1
135.0,2,1
123.0,1,1
137.0,1,1
122.0,1,1
128.0,1,1
133.0,1,1
125.0,1,1
132.0,1,1
132.0,1,1
138.0,1,1
121.0,1,1
131.0,1,1
120.0,1,1
127.0,1,1
126.0,1,1
126.0,1,1
129.0,1,1
131.0,1,1
127.0,1,1
129.0,1,1
128.0,1,1
128.0,1,1
125.0,1,1
126.0,1,1
124.0,1,1
125.0,1,1
125.0,1,1
128.0,1,1
126.0,1,1
121.0,1,1
125.0,1,1
127.0,1,1
129.0,1,1
127.0,1,1
124.0,1,1
125.0,1,1
124.0,1,1
126.0,1,1
126.0,1,1
128.0,1,1
128.0,1,1
128.0,1,1
125.0,1,1
122.0,1,1
126.0,1,1
128.0,1,1
126.0,1,1
125.0,1,1
123.0,1,1
120.0,1,1
115.0,1,1
114.0,1,1
117.0,1,1
123.0,1,1
109.0,1,1
120.0,1,1
125.0,1,1
117.0,4,1
135.0,4,1
134.0,4,1
140.0,4,1
147.0,4,1
135.0,4,1
113.0,4,1
154.0,4,1
132.0,4,1
101.0,4,1
118.0,4,1
109.0,4,1
101.0,4,1
118.0,4,1
125.0,4,1
112.0,4,1
115.0,4,1
111.0,4,1
124.0,4,1
126.0,4,1
130.0,4,1
135.0,4,0
124.0,4,1
114.0,4,1
119.0,4,0
119.0,4,1
116.0,4,0
136.0,4,0
130.0,4,0
137.0,4,0
139.0,4,0
110.0,4,0
120.0,4,0
136.0,4,0
141.0,4,0
126.0,4,0
111.0,4,0
113.0,4,1
114.0,4,0
133.0,4,0
143.0,4,0
114.0,4,0
117.0,4,0
132.0,4,0
100.0,4,0
158.0,4,0
161.0,4,0
133.0,4,0
148.0,4,0
150.0,4,0
113.0,4,0
116.0,4,0
117.0,4,0
120.0,4,0
120.0,4,0
120.0,4,0
120.0,4,0
111.0,4,0
118.0,4,0
131.0,4,0
132.0,4,0
145.0,4,0
118.0,4,0
126.0,4,0
146.0,4,0
167.0,4,0
163.0,4,0
163.0,4,0
165.0,4,0
166.0,4,0
161.0,4,0
134.0,4,0
133.0,4,0
132.0,4,0
131.0,4,0
130.0,4,0
160.0,4,0
153.0,4,0
155.0,4,0
139.0,4,0
127.0,4,0
125.0,4,0
118.0,4,0
141.0,4,0
158.0,4,0
163.0,4,0
166.0,4,0
166.0,4,0
166.0,4,0
153.0,4,0
157.0,4,0
155.0,4,0
163.0,4,0
128.0,4,0
129.0,4,0
130.0,4,0
131.0,4,0
152.0,4,0
169.0,4,0
160.0,4,0
162.0,4,0
168.0,4,0
182.0,4,0
160.0,4,0
159.0,4,0
146.0,4,0
155.0,4,0
153.0,2,0
156.0,2,0
168.0,2,0
145.0,2,0
146.0,3,0
167.0,3,0
167.0,3,0
151.0,3,0
152.0,3,0
140.0,3,0
168.0,3,0
158.0,3,0
157.0,2,0
164.0,2,0
159.0,2,0
137.0,2,0
157.0,2,0
134.0,2,0
151.0,2,0
128.0,2,0
160.0,2,0
143.0,2,0
152.0,2,0
148.0,2,0
161.0,1,0
148.0,1,0
152.0,1,0
144.0,1,0
152.0,1,0
147.0,1,0
153.0,1,0
155.0,1,0
147.0,1,0
143.0,1,0
131.0,1,0
147.0,1,0
169.0,1,0
125.0,1,0
168.0,1,0
146.0,1,0
148.0,1,0
151.0,1,1
161.0,1,1
134.0,1,1
148.0,1,1
152.0,1,1
158.0,1,1
146.0,1,1
165.0,1,1
146.0,1,1
153.0,1,1
160.0,1,1
162.0,1,1
140.0,1,1
156.0,1,1
148.0,1,1
150.0,1,1
151.0,1,1
155.0,1,1
157.0,1,1
152.0,1,1
162.0,1,1
161.0,1,1
151.0,1,1
169.0,1,1
155.0,1,1
150.0,1,1
147.0,1,1
153.0,1,1
187.0,1,1
144.0,1,1
136.0,1,1
140.0,1,1
148.0,1,1
154.0,1,1
144.0,1,1
151.0,1,1
148.0,1,1
164.0,1,1
153.0,1,1
163.0,1,1
138.0,1,1
140.0,1,1
169.0,1,1
150.0,1,1
151.0,3,1
160.0,3,1
146.0,3,1
150.0,3,1
164.0,3,1
166.0,3,0
144.0,3,0
158.0,3,0
159.0,3,0
161.0,3,0
151.0,3,0
170.0,3,0
163.0,3,0
136.0,3,0
150.0,3,0
150.0,3,0
140.0,3,0
156.0,3,0
142.0,3,0
155.0,3,0
151.0,3,0
153.0,3,0
161.0,3,0
156.0,3,0
145.0,3,0
160.0,3,0
146.0,3,0
146.0,3,0
166.0,3,0
150.0,3,0
162.0,3,0
150.0,3,0
157.0,3,0
141.0,3,0
156.0,3,0
174.0,3,0
163.0,3,0
162.0,3,0
171.0,3,0
163.0,3,0
166.0,3,0
156.0,3,0
171.0,3,0
165.0,3,0
140.0,3,0
165.0,2,0
161.0,2,0
159.0,2,0
156.0,2,0
131.0,2,0
153.0,2,0
152.0,2,0
156.0,2,0
149.0,2,0
148.0,2,0
172.0,2,0
176.0,2,0
181.0,3,0
140.0,3,0
133.0,3,0
144.0,3,0
154.0,3,0
131.0,3,0
148.0,3,0
159.0,3,0
