,dataset,classic_misc_rate_test_mean_median,init_easy_misc_rate_test_mean_median,init_hard_misc_rate_test_mean_median,classic_misc_rate_test_mean_std,init_easy_misc_rate_test_mean_std,init_hard_misc_rate_test_mean_std,classic_misc_rate_test_mean_total_mean,init_easy_misc_rate_test_mean_total_mean,init_hard_misc_rate_test_mean_total_mean
0,WineQualityRed_5vs6,0.2881448068470969,0.2873409669211196,0.3040712468193384,0.01039960400598635,0.007916283164014798,0.009884829818243608,0.2916348793276274,0.29001916107641296,0.30413092759657645
1,Yeast_CYTvsNUC,0.3419475655430711,0.3464544319600499,0.3475031210986267,0.005680751175652812,0.0026989171680621856,0.003664845275880306,0.3434203911776945,0.3463704952143154,0.34716050769870993
2,arrhythmia_cfs,0.1678743961352657,0.1879227053140096,0.1678502415458937,0.02620349217760985,0.03001159482373288,0.03411090270280976,0.1759262479871175,0.20146940418679546,0.17755571658615135
3,bands,0.3121621621621622,0.2877627627627627,0.3096096096096096,0.018720233626883617,0.02041717029943012,0.024572078044310594,0.3103726226226226,0.2903198198198198,0.313987987987988
4,banknote_authentication,0.0014545646884586,0.0014545646884586,0.0014545646884586,0.016929467596015657,0.016912400434425007,0.017020325500199576,0.006517966077788286,0.0063311470785287925,0.006369283119997106
5,bodyfat,0.004,0.004,0.004,0.0,0.0,0.0,0.004,0.004,0.004
6,breast-w,0.0414699792960662,0.0372049689440993,0.0414699792960662,0.004946871571536086,0.005625985658818694,0.004498451930878321,0.04252091097308483,0.040047550034506496,0.04302153209109726
7,breastcancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,bupa,0.26676470588235296,0.2723529411764706,0.29550420168067226,0.019882808298095463,0.0185621087293631,0.01904982241017371,0.2711571428571429,0.2749422969187675,0.29765574229691877
9,chatfield_4,0.1277173913043478,0.1364130434782608,0.1445652173913043,0.006863941359963042,0.008979622112870565,0.011742915230494238,0.12623731884057968,0.1383991545893719,0.14013285024154584
10,contraceptive_LS,0.3589915966386555,0.3483473389355742,0.3673389355742297,0.005519394448797418,0.005401327297634546,0.003560518953626709,0.3594787114845938,0.34911391223155924,0.36780079365079366
11,contraceptive_NL,0.2620060137457044,0.2578393470790378,0.2599441580756013,0.0058318179465666675,0.0049662248273675035,0.017133623947397106,0.26164014175257727,0.2580202247995418,0.26413380584192436
12,contraceptive_NS,0.3166666666666666,0.3070175438596491,0.3307017543859649,0.01604339560693766,0.011504209512259504,0.024008880917300832,0.32099999999999995,0.3086900584795321,0.33684795321637423
13,credit-g,0.246,0.241,0.266,0.010809143389971845,0.008421779907572681,0.012249653147320115,0.24787666666666666,0.24250666666666665,0.27011333333333337
14,diabetes,0.2409090909090909,0.2370129870129869,0.25520334928229665,0.007122298347032163,0.0054157852587503,0.006129725049309825,0.24210896559580766,0.2370025062656641,0.25559210526315784
15,diabetic_retinopathy,0.3267316341829085,0.3128148425787106,0.3614205397301349,0.01689761986142423,0.016111814081625646,0.019998289843540403,0.33066201899050474,0.3161615192403798,0.3672096951524238
16,fri_c0_250_50,0.228,0.216,0.208,0.016944791986737453,0.013373335756387262,0.021786911681656557,0.22573333333333334,0.21749333333333334,0.20962666666666666
17,glass0,0.1677489177489177,0.1718614718614718,0.182034632034632,0.02064798285726261,0.017834437176579905,0.020399636038870583,0.17176334776334773,0.17434487734487733,0.18619841269841264
18,glass1,0.201082251082251,0.1967532467532467,0.2056277056277056,0.016857067988726597,0.013538694265525918,0.025123887329359336,0.20467171717171714,0.20089033189033187,0.21161544011544006
19,hill_valley_without_noise_traintest,0.473641782956239,0.4694756808020593,0.5008806394797454,0.00838188547325509,0.007752641579297144,0.005378064589773859,0.47503129657228016,0.47087923948877747,0.49983328817233436
20,ilpd,0.3040532365396249,0.290260133091349,0.3056261343012704,0.008393514800086675,0.005589958197505234,0.007814652560105353,0.30408782012502517,0.2909103649929421,0.3064446460980036
21,ionosphere,0.0741269841269841,0.0713492063492063,0.0853968253968253,0.012935815764891048,0.015515334700636721,0.012409201192308891,0.07545105820105814,0.07599708994708991,0.08533439153439147
22,liver-disorders,0.2804761904761904,0.2952380952380952,0.3152380952380952,0.01057752739436284,0.013122195440771405,0.024201601160715357,0.27916984126984123,0.2949206349206349,0.30821746031746033
23,mammographic,0.163855421686747,0.1710843373493976,0.1614457831325301,0.0023801638516467234,0.001587335019667047,0.003252280687090922,0.1639277108433735,0.17148995983935741,0.1620843373493976
24,musk1,0.11983599290780135,0.13652482269503546,0.1407358156028368,0.046635905079698385,0.039706928755828014,0.04234217043756043,0.13892922576832145,0.14757830969267138,0.15635062056737586
25,parkinsons,0.106578947368421,0.086578947368421,0.101578947368421,0.0122695545841224,0.02149989965239047,0.015110267704689262,0.10859824561403504,0.09599473684210523,0.10391052631578941
26,phoneme,0.1960626754295885,0.1941165194769631,0.1970789689874717,0.009850302236641377,0.009453717406052648,0.011588347823651117,0.1977547819538577,0.19784237466055085,0.19936388033134794
27,pima,0.23638072453861925,0.2473342447026657,0.2474025974025973,0.008308004434208914,0.0038952984650519776,0.006187587893418835,0.2393140236956026,0.24697282980177712,0.24615806561859188
28,profb,0.3259657594381036,0.33929982440737483,0.3631694468832309,0.0063590899215041265,0.004594139366974964,0.0065043582703826815,0.32586011120866254,0.34029587357330987,0.3638490635059994
29,ring,0.0518918918918918,0.0682432432432432,0.04932432432432425,0.05467027882225424,0.059191205976709425,0.06789185892469324,0.0714914414414414,0.08748918918918915,0.07119549549549545
30,saheart,0.3029139685476411,0.3030064754856614,0.3331174838112858,0.009926852412069304,0.007111561265943449,0.011384859361047526,0.30133626271970393,0.3030695343817453,0.33021631205673757
