"",Dataset,classic_min_misc_rate_test_mean,classic_n_ensemble,classic_median,classic_std,init_easy_min_misc_rate_test_mean,init_easy_n_ensemble,init_easy_median,init_easy_std,init_hard_min_misc_rate_test_mean,init_hard_n_ensemble,init_hard_median,init_hard_std
0,ring,0.039730,300,0.051892,0.054670,0.039189,297,0.074730,0.078929,0.035405,298,0.065338,0.091163
1,vertebral_column,0.145161,57,0.164516,0.013953,0.138710,26,0.174194,0.011940,0.141935,65,0.164516,0.015272
2,teaching_assistant_MH,0.270000,244,0.330000,0.055355,0.230909,285,0.350909,0.045524,0.252727,268,0.349091,0.057791
3,saheart,0.270490,9,0.302914,0.009927,0.263876,13,0.300879,0.011865,0.285523,4,0.326920,0.021660
4,bodyfat,0.004000,1,0.004000,0.000000,0.004000,1,0.004000,0.000000,0.004000,1,0.004000,0.000000
5,steel-plates-fault,0.000000,83,0.000000,0.058419,0.000000,93,0.000000,0.073378,0.000000,148,0.000000,0.064456
6,titanic,0.209313,18,0.216201,0.002548,0.200893,32,0.211615,0.006281,0.208538,120,0.226136,0.035566
7,liver-disorders,0.260000,91,0.280476,0.010578,0.239048,8,0.280476,0.018449,0.233333,14,0.315714,0.024796
8,sonar,0.120476,71,0.148810,0.024659,0.110952,207,0.154286,0.029703,0.100714,183,0.139524,0.033686
9,credit-g,0.232000,72,0.246000,0.010809,0.226000,195,0.243000,0.010757,0.244000,146,0.267000,0.021969
10,musk1,0.092420,299,0.119836,0.046636,0.098537,289,0.153457,0.041958,0.092509,300,0.142819,0.050634
11,bupa,0.249160,91,0.266765,0.019883,0.243529,201,0.275462,0.026367,0.246218,124,0.284580,0.037509
12,teaching_assistant_LH,0.315455,3,0.376364,0.025574,0.286364,135,0.367273,0.047410,0.297273,252,0.396364,0.052310
13,WineQualityRed_5vs6,0.279042,241,0.288145,0.010400,0.277504,104,0.293407,0.012552,0.277510,114,0.302556,0.042516
14,spambase,0.058305,238,0.062439,0.016702,0.056345,273,0.063089,0.016905,0.056347,124,0.066349,0.018422
15,diabetes,0.233083,145,0.240909,0.007122,0.214850,26,0.238312,0.009133,0.225273,63,0.248650,0.013492
16,parkinsons,0.091053,113,0.106579,0.012270,0.070789,190,0.096842,0.020413,0.070789,103,0.096842,0.015925
17,breast-w,0.035756,210,0.041470,0.004947,0.035735,74,0.041491,0.005991,0.031449,106,0.038613,0.006499
18,sylvine,0.078259,261,0.079822,0.002660,0.075723,278,0.081383,0.003239,0.075918,264,0.082359,0.002661
19,profb,0.309592,116,0.325966,0.006359,0.306585,8,0.333385,0.009614,0.315496,296,0.360119,0.065636
20,mammographic,0.159036,103,0.163855,0.002380,0.151807,7,0.171084,0.008157,0.154217,162,0.165060,0.010543
21,vehicle2,0.018936,295,0.024839,0.023160,0.017759,215,0.024860,0.027953,0.018894,43,0.027241,0.027223
22,chatfield_4,0.110870,19,0.127717,0.006864,0.102174,50,0.131703,0.009325,0.098007,3,0.136232,0.008506
23,pima,0.225325,223,0.236381,0.008308,0.221463,46,0.239627,0.006945,0.224026,20,0.251162,0.011137
24,phoneme,0.187271,267,0.196063,0.009850,0.184492,288,0.197450,0.009690,0.180423,266,0.192634,0.010436
25,contraceptive_NL,0.253716,46,0.262006,0.005832,0.243267,81,0.257807,0.008217,0.247412,109,0.270307,0.049468
26,wdbc,0.028102,280,0.035182,0.007954,0.021084,99,0.031642,0.008895,0.022838,89,0.033396,0.008805
27,contraceptive_NS,0.309649,73,0.316667,0.016043,0.300877,290,0.316667,0.016615,0.307018,98,0.334211,0.038901
28,arrhythmia_cfs,0.154638,122,0.167874,0.026203,0.154686,276,0.190097,0.035657,0.141449,99,0.192271,0.040552
29,fri_c0_250_50,0.176000,9,0.228000,0.016945,0.176000,81,0.224000,0.017927,0.164000,82,0.220000,0.018717
30,glass0,0.144372,81,0.167749,0.020648,0.144589,62,0.177489,0.021250,0.144805,136,0.181818,0.022754
31,teaching_assistant_LM,0.325556,207,0.365556,0.028311,0.304444,197,0.365556,0.031871,0.314444,215,0.415556,0.043831
32,ilpd,0.284936,30,0.304053,0.008394,0.264338,296,0.286751,0.013810,0.274713,66,0.309120,0.015237
33,glass1,0.177706,152,0.201082,0.016857,0.172294,162,0.205628,0.020249,0.168615,174,0.214935,0.031576
34,yeast1,0.227077,282,0.237167,0.006784,0.216987,272,0.229761,0.010907,0.219681,272,0.234487,0.018597
35,hill_valley_without_noise_traintest,0.463718,69,0.473642,0.008382,0.439798,275,0.476927,0.012783,0.462072,280,0.491783,0.012170
36,Yeast_CYTvsNUC,0.334107,79,0.341948,0.005681,0.329600,259,0.347591,0.014380,0.317291,259,0.354220,0.057077
37,bands,0.271171,44,0.312162,0.018720,0.254880,100,0.309760,0.025364,0.246471,92,0.322973,0.035599
38,spectfheart,0.190313,223,0.205413,0.007669,0.168234,11,0.205698,0.013293,0.164387,9,0.209259,0.013057
39,contraceptive_LS,0.349482,18,0.358992,0.005519,0.340056,61,0.355378,0.007378,0.342451,18,0.376737,0.080445
40,breastcancer,0.000000,1,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,0.000000,0.000000
41,ionosphere,0.059841,59,0.074127,0.012936,0.056984,59,0.074206,0.016682,0.056984,47,0.082619,0.017507
42,banknote_authentication,0.001455,123,0.001455,0.016929,0.001455,236,0.003639,0.020325,0.001455,80,0.001455,0.019159
43,diabetic_retinopathy,0.309325,177,0.326732,0.016898,0.297189,219,0.337972,0.021089,0.308396,282,0.361439,0.040366
