model,perf_measure,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Grouped_Mixed_Bagging,acc,0.9128420256991686,0.9145238095238096,0.009688152778667249,ionosphere
Incremental_Mixed_Bagging,acc,0.9135034013605441,0.9173015873015872,0.010309376739126012,ionosphere
Grouped_Mixed_Bagging,acc,0.7965367965367965,0.7952762923351158,0.0043873707300407915,balance_scale_BL
Incremental_Mixed_Bagging,acc,0.8049274255156608,0.8072192513368984,0.011457812645428432,balance_scale_BL
Grouped_Mixed_Bagging,acc,0.6785663082437277,0.6793548387096774,0.009974898159195108,haberman
Incremental_Mixed_Bagging,acc,0.6933998975934459,0.7021505376344086,0.025565711248038397,haberman
Grouped_Mixed_Bagging,acc,0.8317063492063491,0.8408333333333333,0.018744399516322553,hepatitis
Incremental_Mixed_Bagging,acc,0.8274007936507937,0.8283333333333334,0.02127731282388097,hepatitis
Grouped_Mixed_Bagging,acc,0.859696342305038,0.863768115942029,0.014655743251502037,credit-a
Incremental_Mixed_Bagging,acc,0.8608005521048999,0.863768115942029,0.01652730767126888,credit-a
Grouped_Mixed_Bagging,acc,0.7988400488400489,0.8019943019943019,0.011840879285665577,spect_heart
Incremental_Mixed_Bagging,acc,0.800956450956451,0.8058404558404557,0.023827618885319347,spect_heart
Grouped_Mixed_Bagging,acc,0.9291519758961619,0.9295651132860436,0.0015512474064199673,seismic-bumps
Incremental_Mixed_Bagging,acc,0.930647990182874,0.9311110113435696,0.0015283206080905097,seismic-bumps
Grouped_Mixed_Bagging,acc,0.9570614292228519,0.9568946648426812,0.0025535215823933536,cervical_cancer_risk_factors
Incremental_Mixed_Bagging,acc,0.9558413132694938,0.9557318741450068,0.00446358499198005,cervical_cancer_risk_factors
Grouped_Mixed_Bagging,acc,0.6987215575885527,0.6995073891625616,0.008981157880371526,breast_cancer
Incremental_Mixed_Bagging,acc,0.6999648135116115,0.6991379310344827,0.008989316283257756,breast_cancer
Grouped_Mixed_Bagging,acc,0.6146605308790183,0.6161484593837535,0.011320451056323236,contraceptive_LS
Incremental_Mixed_Bagging,acc,0.6221208483393357,0.6255742296918767,0.016569657163086893,contraceptive_LS
Grouped_Mixed_Bagging,acc,0.9956924851967955,0.9957797805642633,0.000800432601167924,kr-vs-kp
Incremental_Mixed_Bagging,acc,0.9952928530999652,0.995779290752351,0.0013725462183707276,kr-vs-kp
Grouped_Mixed_Bagging,acc,0.9947045202859156,1.0,0.021268361152979386,monks_prob_1
Incremental_Mixed_Bagging,acc,0.995152521896708,1.0,0.022213935337976814,monks_prob_1
Grouped_Mixed_Bagging,acc,0.9412060807409643,0.9515327695560254,0.044218886294398324,monks_prob_2
Incremental_Mixed_Bagging,acc,0.9483162186650558,0.960676532769556,0.04509613751752493,monks_prob_2
Grouped_Mixed_Bagging,acc,0.8007284064535973,0.8029125073399882,0.0091516648267116,titanic
Incremental_Mixed_Bagging,acc,0.8050258647205213,0.8067351732237228,0.005999948424403888,titanic
Grouped_Mixed_Bagging,acc,0.5451322751322751,0.5355555555555556,0.02838986993407338,teaching_assistant_LM
Incremental_Mixed_Bagging,acc,0.5607407407407408,0.5555555555555556,0.027467901206823592,teaching_assistant_LM
Grouped_Mixed_Bagging,acc,0.9539485359361135,0.954223602484472,0.005969253762938561,breast-w
Incremental_Mixed_Bagging,acc,0.9549699300009858,0.9570807453416148,0.007118145136441181,breast-w
Grouped_Mixed_Bagging,acc,0.948957264957265,0.9497435897435896,0.0045368435959065884,cardiotocography_c1c2
Incremental_Mixed_Bagging,acc,0.9497435897435899,0.9507692307692308,0.00531526949368991,cardiotocography_c1c2
Grouped_Mixed_Bagging,acc,0.9855284043441938,0.9874671052631578,0.008431280780104888,tic-tac-toe
Incremental_Mixed_Bagging,acc,0.9843421052631579,0.9874671052631578,0.01317568378994288,tic-tac-toe
Grouped_Mixed_Bagging,acc,0.9695970695970696,0.9692307692307692,0.009255157038742239,wine_c1c2
Incremental_Mixed_Bagging,acc,0.9677655677655677,0.9692307692307692,0.013013203949672982,wine_c1c2
Grouped_Mixed_Bagging,acc,0.9841666666666666,0.985,0.004699290726623909,chronic_kidney
Incremental_Mixed_Bagging,acc,0.9840476190476191,0.985,0.004774685230213511,chronic_kidney
Grouped_Mixed_Bagging,acc,0.8005328798185941,0.8035714285714286,0.022904824369024926,sonar
Incremental_Mixed_Bagging,acc,0.8090362811791384,0.8176190476190476,0.031127934042010943,sonar
Grouped_Mixed_Bagging,acc,0.8335371085371086,0.8371621621621621,0.0179342733345698,horse_colic
Incremental_Mixed_Bagging,acc,0.8328364078364078,0.837012012012012,0.022596780439148517,horse_colic
Grouped_Mixed_Bagging,acc,0.8395748792270531,0.8475362318840579,0.031245434608803458,arrhythmia_cfs
Incremental_Mixed_Bagging,acc,0.8369009661835749,0.8441062801932366,0.023281823411948566,arrhythmia_cfs
Grouped_Mixed_Bagging,acc,0.8117460317460318,0.8156989247311828,0.022556666858163026,heart_disease
Incremental_Mixed_Bagging,acc,0.8101433691756273,0.8124731182795699,0.01695652672313385,heart_disease
Grouped_Mixed_Bagging,acc,0.9338624338624338,0.9351851851851852,0.007364292514071146,climate_model
Incremental_Mixed_Bagging,acc,0.9305996472663141,0.9351851851851852,0.016816395826503332,climate_model
Grouped_Mixed_Bagging,acc,0.7007361331440818,0.7031268264172998,0.01513912809766616,indian_liver_patients
Incremental_Mixed_Bagging,acc,0.6964000445297932,0.6979544126241963,0.014575372505908528,indian_liver_patients
Grouped_Mixed_Bagging,acc,1.0,1.0,0.0,monks_prob_3
Incremental_Mixed_Bagging,acc,1.0,1.0,0.0,monks_prob_3
Grouped_Mixed_Bagging,acc,0.990425564068852,0.9905321062096688,0.0018789360774318668,banknote_authentication
Incremental_Mixed_Bagging,acc,0.9908764161541057,0.9912567438908284,0.002530501689704143,banknote_authentication
Grouped_Mixed_Bagging,acc,0.9543315211919863,0.9540169133192388,0.0057384457774984025,voting_records
Incremental_Mixed_Bagging,acc,0.9581798046914326,0.958615221987315,0.0035511482894496848,voting_records
Grouped_Mixed_Bagging,acc,0.9190188113963069,0.9202661826981248,0.01176310571857851,balance_scale_LR
Incremental_Mixed_Bagging,acc,0.9182611701667963,0.9185420447670902,0.010424510576448682,balance_scale_LR
Grouped_Mixed_Bagging,acc,0.9354218714198804,0.9364841546374648,0.004991952290831743,phishing
Incremental_Mixed_Bagging,acc,0.9366044071519433,0.937711962833914,0.006213066659288191,phishing
Grouped_Mixed_Bagging,acc,0.82642089093702,0.8258064516129032,0.008929079317599732,vertebral_column
Incremental_Mixed_Bagging,acc,0.8296466973886328,0.8290322580645162,0.008632817838246867,vertebral_column
Grouped_Mixed_Bagging,acc,0.9943734436912283,0.9947876058610028,0.002236288998752036,car_evaluation
Incremental_Mixed_Bagging,acc,0.9948994680544619,0.9959470358919208,0.0038665757210083014,car_evaluation
Grouped_Mixed_Bagging,acc,0.9638528138528137,0.9666666666666666,0.008932145421379826,wine_c2c3
Incremental_Mixed_Bagging,acc,0.9622655122655123,0.9666666666666666,0.016424932627681143,wine_c2c3
Grouped_Mixed_Bagging,acc,0.7584285714285715,0.763,0.01844334955633451,credit-g
Incremental_Mixed_Bagging,acc,0.7548571428571429,0.762,0.0292511294043251,credit-g
Grouped_Mixed_Bagging,acc,0.9599670719351572,0.959663120567376,0.005204234574675251,cardiotocography_c2c3
Incremental_Mixed_Bagging,acc,0.9572293988517393,0.959663120567376,0.006898919206973297,cardiotocography_c2c3
Grouped_Mixed_Bagging,acc,0.789667198494518,0.7908719931271477,0.011481541545394498,mammographic_mass
Incremental_Mixed_Bagging,acc,0.8004709744722631,0.8033397766323024,0.009075748227790463,mammographic_mass
Grouped_Mixed_Bagging,acc,0.9838067586264726,0.9836154668567356,0.0015197378540714242,cardiotocography_c1c3
Incremental_Mixed_Bagging,acc,0.9832924545441841,0.9836124970301734,0.0014066900732839485,cardiotocography_c1c3
Grouped_Mixed_Bagging,acc,0.9719999210245746,0.9722514358171104,0.0015403821256830647,internet_ad_cfs
