acc_svmlinear,acc_svmrbf,acc_mlp,acc_knn,acc_dt,acc_nb,dataset
0.646363636363636,0.731818181818182,0.684545454545455,0.720909090909091,0.509090909090909,0.657272727272727,teaching_assistant_MH
0.587311827956989,0.600860215053763,0.613978494623656,0.613763440860215,0.541182795698925,0.531612903225806,cleveland
0.845333333333334,0.897333333333333,0.896666666666667,0.893666666666667,0.808,0.841,Data13
0.717268041237113,0.741129725085911,0.754714347079038,0.723410652920962,0.653855240549828,0.65803264604811,contraceptive_NL
0.748353881587861,0.726859504132231,0.522293727137244,0.646877116921826,0.504945129386262,0.515634737840401,hill_valley_without_noise_traintest
0.748051948051948,0.850865800865801,0.832467532467532,0.817316017316017,0.735064935064935,0.631818181818182,glass0
0.718593894542091,0.733811285846438,0.759759481961147,0.716466234967623,0.653654024051804,0.705596669750231,saheart
0.8896,0.9296,0.9072,0.9128,0.8492,0.8744,Data8
0.959979296066253,0.961407867494824,0.965693581780538,0.961407867494824,0.909937888198758,0.954202898550725,breast-w
0.641106442577031,0.660098039215686,0.671932773109244,0.653081232492997,0.60546218487395,0.640966386554622,contraceptive_LS
0.879333333333333,0.932666666666667,0.931333333333333,0.927333333333333,0.852,0.911333333333333,Data6
0.743959731543624,0.774265372755306,0.778278614184654,0.754716125521495,0.710915109740613,0.314012334482133,yeast1
0.715033272837265,0.715033272837265,0.722020568663037,0.675347852389595,0.715033272837265,0.556170598911071,ilpd
0.775350516875471,0.900626069692613,0.823477442322174,0.904515643184774,0.706514000136921,0.759434517696995,phoneme
0.825301204819277,0.839759036144578,0.83855421686747,0.804819277108434,0.827710843373494,0.803614457831325,mammographic
0.752,0.978333333333333,0.856,0.963,0.542333333333333,0.808333333333333,Data12
0.639473684210526,0.689473684210526,0.707894736842105,0.643859649122807,0.551754385964912,0.598245614035088,contraceptive_NS
0.677983193277311,0.73327731092437,0.747899159663866,0.643445378151261,0.579831932773109,0.555966386554622,bupa
0.636766541822722,0.659188514357054,0.660374531835206,0.64585518102372,0.519051186017478,0.488826466916355,Yeast_CYTvsNUC
0.763918918918919,0.980405405405405,0.932162162162162,0.74972972972973,0.504864864864865,0.979864864864865,ring
0.779970640046976,0.784550792718732,0.784562536699941,0.753206106870229,0.779970640046976,0.75856136230182,titanic
0.754833333333333,0.7555,0.755833333333333,0.743,0.5,0.755166666666667,Data1
0.775709219858156,0.847207446808511,0.84906914893617,0.807579787234043,0.565159574468085,0.718395390070922,musk1
0.83,0.897666666666667,0.899333333333333,0.896,0.809,0.812,Data2
0.794159544159544,0.801566951566951,0.811965811965812,0.775213675213675,0.794159544159544,0.682336182336182,spectfheart
0.783381642512077,0.798840579710145,0.785458937198068,0.734589371980676,0.542028985507246,0.778937198067633,arrhythmia_cfs
0.841935483870968,0.835483870967742,0.874193548387097,0.806451612903226,0.767741935483871,0.774193548387097,vertebral_column
0.666681299385426,0.671158911325724,0.672629499561019,0.656255487269535,0.666681299385426,0.645807726075505,profb
0.665952380952381,0.697857142857143,0.774761904761905,0.701666666666667,0.711190476190476,0.673809523809524,sonar
0.77268110130981,1,0.99304998663459,1,0.670609462710505,0.753996257685111,fourclass
0.739047619047619,0.745714285714286,0.754285714285714,0.725238095238095,0.621428571428572,0.703809523809524,liver-disorders
0.904333333333333,0.913333333333333,0.909666666666667,0.909,0.886666666666667,0.903333333333334,Data10
0.97375,0.983333333333333,0.987222222222222,0.950138888888889,0.925833333333333,0.107222222222222,thyroid
0.971649484536082,0.980933121860957,0.998969072164948,0.911374570446736,0.653272535025112,0.997422680412371,steel-plates-fault
0.763,0.77,0.756,0.761,0.7,0.718,credit-g
0.645021645021645,0.784848484848485,0.812337662337662,0.78030303030303,0.645021645021645,0.588744588744589,glass1
0.959307359307359,0.972294372294372,0.968831168831169,0.967532467532468,0.687445887445887,0.798268398268398,segment
1,1,0.998245614035088,0.998245614035088,1,1,breastcancer
0.772163362952837,0.772146274777854,0.778605604921394,0.747402597402597,0.651059466848941,0.756459330143541,diabetes
0.901,0.903666666666667,0.901,0.899,0.870333333333333,0.896666666666667,Data5
0.823,0.97,0.951666666666667,0.959666666666667,0.807,0.823333333333333,Data7
0.744580209895053,0.758470764617691,0.741094452773613,0.649887556221889,0.530839580209895,0.626424287856072,diabetic_retinopathy
0.997633053221288,0.998809523809524,0.995238095238095,0.994075630252101,0.787156862745098,0.985714285714286,analcatdata_authorship
0.699843858431645,0.700613000231321,0.696825121443442,0.664966458477909,0.516302336340504,0.691412213740458,WineQualityRed_5vs6
0.513333333333333,0.596666666666667,0.628888888888889,0.654444444444444,0.494444444444444,0.524444444444444,teaching_assistant_LM
0.877460317460317,0.951428571428571,0.923174603174603,0.843095238095238,0.846190476190476,0.885873015873016,ionosphere
0.630255255255255,0.63536036036036,0.646546546546547,0.60015015015015,0.630255255255255,0.380630630630631,bands
0.978884711779449,0.978884711779448,0.984179197994987,0.968389724310777,0.892888471177945,0.936779448621554,wdbc
0.699,0.705,0.708,0.691,0.518,0.689,Data3
0.915491365131579,0.934811312134503,0.933251477217349,0.843287417763158,0.912169529727096,0.890514970151072,sylvine
0.700909090909091,0.710909090909091,0.720909090909091,0.700909090909091,0.514545454545454,0.702727272727273,teaching_assistant_LH
0.849,0.901,0.899,0.8875,0.848,0.8515,Data9
0.966946778711484,0.985854341736694,0.988221288515406,0.972829131652661,0.802633053221289,0.804943977591037,vehicle2
0.774658236500342,0.772043745727956,0.777255639097745,0.746052631578947,0.651059466848941,0.75258031442242,pima
0.926893530359004,0.936901108269395,0.931680401629251,0.901005020365634,0.768299232736573,0.817271952259164,spambase
0.8415,0.86525,0.85275,0.864,0.6385,0.8,Data11
0.768,0.8,0.796,0.692,0.576,0.764,fri_c0_250_50
0.844210526315789,0.861315789473684,0.896842105263158,0.845526315789474,0.833421052631579,0.691578947368421,parkinsons
0.972307692307692,0.964307692307692,0.988307692307692,0.885076923076923,0.996153846153846,0.793692307692308,bodyfat
0.957333333333333,0.962,0.96,0.96,0.92,0.940666666666667,Data4
0.988337035861631,1,1,0.999270072992701,0.852755738918862,0.839638210092034,banknote_authentication
0.893478260869565,0.884420289855072,0.893115942028986,0.871920289855072,0.876449275362319,0.876449275362319,chatfield_4
