,acc_svmlinear,acc_svmrbf,acc_mlp,acc_knn,acc_dt,dataset,Bagging avg200,Bagging 200
0,0.701,0.711,0.721,0.701,0.515,teaching_assistant_LH,0.6668,0.6736
0,0.646,0.732,0.685,0.721,0.509,teaching_assistant_MH,0.7161,0.7200
0,0.717,0.741,0.755,0.723,0.654,contraceptive_NL,0.7262,0.7349
0,0.700,0.701,0.697,0.665,0.516,WineQualityRed_5vs6,0.7949,0.7983
0,0.842,0.835,0.874,0.806,0.768,vertebral_column,0.8400,0.8452
0,0.772,0.772,0.779,0.747,0.651,diabetes,0.7545,0.7629
0,0.763,0.770,0.756,0.761,0.700,credit-g,0.7548,0.7590
0,0.783,0.799,0.785,0.735,0.542,arrhythmia_cfs,0.8447,0.8540
0,0.775,0.772,0.777,0.746,0.651,pima,0.7521,0.7604
0,0.825,0.840,0.839,0.805,0.828,mammographic,0.7782,0.7783
0,0.780,0.785,0.785,0.753,0.780,titanic,0.7885,0.7899
0,0.666,0.698,0.775,0.702,0.711,sonar,0.8009,0.8031
