Ventilation,Duration,Exposure,class
Negative_pressure,184.0,(1)_Low_exposure,minority
Negative_pressure,30.0,(3)_Above_legal_limit,majority
Negative_pressure,116.0,(3)_Above_legal_limit,majority
Negative_pressure,133.0,(1)_Low_exposure,minority
General,184.0,(3)_Above_legal_limit,majority
General,57.0,(3)_Above_legal_limit,majority
General,111.0,(3)_Above_legal_limit,majority
Negative_pressure,98.0,(1)_Low_exposure,majority
Negative_pressure,138.0,(1)_Low_exposure,majority
Negative_pressure,265.0,(1)_Low_exposure,minority
Negative_pressure,135.0,(1)_Low_exposure,minority
General,217.0,(3)_Above_legal_limit,majority
Negative_pressure,245.0,(1)_Low_exposure,minority
Negative_pressure,95.0,(1)_Low_exposure,majority
General,236.0,(3)_Above_legal_limit,majority
General,226.0,(2)_Action_level,majority
General,145.0,(3)_Above_legal_limit,majority
General,194.0,(3)_Above_legal_limit,majority
General,103.0,(3)_Above_legal_limit,majority
General,101.0,(3)_Above_legal_limit,majority
General,105.0,(3)_Above_legal_limit,majority
General,187.0,(3)_Above_legal_limit,majority
General,30.0,(3)_Above_legal_limit,majority
General,117.0,(3)_Above_legal_limit,majority
General,244.0,(3)_Above_legal_limit,majority
General,30.0,(3)_Above_legal_limit,majority
General,59.0,(1)_Low_exposure,majority
General,78.0,(3)_Above_legal_limit,majority
Negative_pressure,139.0,(3)_Above_legal_limit,majority
Negative_pressure,193.0,(3)_Above_legal_limit,majority
Negative_pressure,30.0,(1)_Low_exposure,majority
Negative_pressure,214.0,(2)_Action_level,minority
Negative_pressure,235.0,(1)_Low_exposure,majority
Negative_pressure,137.0,(1)_Low_exposure,minority
Negative_pressure,123.0,(1)_Low_exposure,minority
Negative_pressure,75.0,(1)_Low_exposure,minority
Negative_pressure,185.0,(1)_Low_exposure,minority
Negative_pressure,30.0,(1)_Low_exposure,majority
Negative_pressure,91.0,(3)_Above_legal_limit,majority
Negative_pressure,138.0,(1)_Low_exposure,minority
Negative_pressure,205.0,(1)_Low_exposure,minority
General,47.0,(3)_Above_legal_limit,majority
General,80.0,(3)_Above_legal_limit,majority
General,105.0,(3)_Above_legal_limit,majority
General,246.0,(3)_Above_legal_limit,majority
General,30.0,(3)_Above_legal_limit,majority
General,103.0,(1)_Low_exposure,majority
General,58.0,(3)_Above_legal_limit,majority
Negative_pressure,141.0,(1)_Low_exposure,majority
Negative_pressure,89.0,(3)_Above_legal_limit,majority
General,92.0,(2)_Action_level,majority
Negative_pressure,210.0,(1)_Low_exposure,minority
Negative_pressure,210.0,(1)_Low_exposure,minority
Negative_pressure,155.0,(1)_Low_exposure,minority
Negative_pressure,100.0,(1)_Low_exposure,majority
General,253.0,(1)_Low_exposure,minority
General,42.0,(3)_Above_legal_limit,minority
Negative_pressure,174.0,(1)_Low_exposure,minority
Negative_pressure,81.0,(1)_Low_exposure,minority
Negative_pressure,269.0,(1)_Low_exposure,minority
Negative_pressure,240.0,(3)_Above_legal_limit,minority
Negative_pressure,245.0,(1)_Low_exposure,minority
Negative_pressure,300.0,(1)_Low_exposure,majority
Negative_pressure,230.0,(1)_Low_exposure,minority
Negative_pressure,78.0,(1)_Low_exposure,minority
Negative_pressure,42.0,(1)_Low_exposure,minority
General,258.0,(2)_Action_level,minority
General,207.0,(1)_Low_exposure,minority
Negative_pressure,188.0,(3)_Above_legal_limit,majority
General,30.0,(1)_Low_exposure,minority
Negative_pressure,230.0,(1)_Low_exposure,minority
Negative_pressure,235.0,(1)_Low_exposure,minority
Negative_pressure,30.0,(1)_Low_exposure,majority
Negative_pressure,211.0,(1)_Low_exposure,minority
Negative_pressure,210.0,(1)_Low_exposure,minority
Negative_pressure,155.0,(1)_Low_exposure,minority
Negative_pressure,130.0,(2)_Action_level,majority
Negative_pressure,215.0,(1)_Low_exposure,minority
Negative_pressure,260.0,(1)_Low_exposure,minority
General,184.0,(1)_Low_exposure,majority
General,60.0,(3)_Above_legal_limit,minority
General,79.0,(2)_Action_level,majority
Negative_pressure,247.0,(1)_Low_exposure,minority
