col_1,col_2,col_3,col_4,class
Alabama,_East_South_Central,5.0,1833.0,minority
Alaska,_Pacific,9.0,1801.0,majority
Arizona,_Mountain,8.0,1712.0,minority
Arkansas,_West_South_Central,6.0,1673.0,minority
California,_Pacific,9.0,1914.0,majority
Colorado,_Mountain,8.0,1807.0,majority
Connecticut,_North_East,1.0,2080.0,majority
Delaware,_South_Atlantic,3.0,2028.0,minority
Florida,_South_Atlantic,3.0,2037.0,minority
Georgia,_South_Atlantic,3.0,1884.0,minority
Hawaii,_Pacific,9.0,1889.0,majority
Idaho,_Mountain,8.0,1234.0,majority
Illinois,_East_North_Central,4.0,1840.0,majority
Indiana,_East_North_Central,4.0,1738.0,minority
Iowa,_West_North_Central,7.0,1657.0,majority
Kansas,_West_North_Central,7.0,1727.0,majority
Kentucky,_East_South_Central,5.0,1713.0,minority
Louisiana,_West_South_Central,6.0,1960.0,minority
Maine,_North_East,1.0,1592.0,majority
Maryland,_South_Atlantic,3.0,1918.0,majority
Massachusetts,_North_East,1.0,2402.0,minority
Michigan,_East_North_Central,4.0,1856.0,minority
Minnesota,_West_North_Central,7.0,1969.0,minority
Missouri,_West_North_Central,7.0,1983.0,minority
Mississippi,_East_South_Central,5.0,1440.0,minority
Montana,_Mountain,8.0,1440.0,majority
Nebraska,_West_North_Central,7.0,1754.0,majority
Nevada,_Mountain,8.0,1771.0,majority
New_Hampshire,_North_East,1.0,1735.0,majority
New_Jersey,_Middle_Atlantic,2.0,1887.0,majority
New_Mexico,_Mountain,8.0,1582.0,minority
New_York,_Middle_Atlantic,2.0,2134.0,majority
North_Carolina,_South_Atlantic,3.0,1631.0,majority
North_Dakota,_West_North_Central,7.0,2083.0,minority
Ohio,_East_North_Central,4.0,1859.0,minority
Oklahoma,_West_South_Central,6.0,1553.0,majority
Oregon,_Pacific,9.0,1573.0,majority
Pennslyvania,_Middle_Atlantic,2.0,2105.0,minority
Rhode_Island,_North_East,1.0,1916.0,majority
South_Carolina,_South_Atlantic,3.0,1558.0,minority
South_Dakota,_West_North_Central,7.0,1736.0,minority
Tennessee,_East_South_Central,5.0,2009.0,minority
Texas,_West_South_Central,6.0,1742.0,minority
Virginia,_South_Atlantic,3.0,1722.0,majority
Vermont,_North_East,1.0,1454.0,majority
Utah,_Mountain,8.0,1434.0,minority
Washington,_Pacific,9.0,1691.0,majority
Wisconsin,_East_North_Central,4.0,1762.0,majority
West_Virginia,_South_Atlantic,3.0,1832.0,minority
Wyoming,_Mountain,8.0,1301.0,majority
