row_number,lugs_1989,lugs_1990,y
1.0,1.0,5.0,1
2.0,3.0,8.0,1
3.0,3.0,11.0,1
4.0,3.0,9.0,0
5.0,5.0,9.5,0
6.0,3.5,10.0,0
7.0,3.0,12.0,0
8.0,4.5,10.0,0
9.0,5.0,11.5,0
10.0,5.0,10.0,0
11.0,6.0,11.0,0
12.0,5.0,10.0,0
13.0,4.0,10.5,0
14.0,6.0,10.0,0
15.0,5.0,11.0,0
16.0,6.5,11.0,0
17.0,4.0,11.5,0
18.0,6.0,12.0,0
19.0,3.0,12.5,0
20.0,6.0,13.0,0
21.0,5.0,11.0,0
22.0,8.0,11.0,0
23.0,4.5,11.0,0
24.0,4.0,13.0,0
25.0,4.0,11.0,0
26.0,6.5,13.0,0
27.0,4.0,12.0,1
28.0,5.0,14.0,0
29.0,3.0,10.0,1
30.0,5.5,13.0,1
31.0,3.0,8.0,1
32.0,2.0,7.5,1
33.0,2.0,8.0,1
34.0,2.0,8.0,1
35.0,2.0,7.0,1
36.0,3.0,10.0,1
37.0,2.0,7.0,0
38.0,2.0,10.0,1
39.0,2.0,8.0,0
40.0,2.0,10.0,1
41.0,2.0,9.0,0
42.0,1.5,10.0,1
43.0,1.5,8.0,1
44.0,1.5,11.0,1
45.0,1.0,10.0,0
46.0,1.0,7.0,1
47.0,1.0,5.0,1
48.0,1.0,7.0,1
49.0,0.5,8.0,1
50.0,0.5,6.0,1
51.0,0.0,7.5,1
52.0,0.0,2.5,1
