Dataset,CLD,DCP,F1,Hostility,LSC,N1,N2,TD_U,kDN
WineQualityRed_5vs6,"a=4, s=2","a=6, s=12","a=2, s=20","a=4, s=4","a=6, s=4","a=2, s=2","a=8, s=1","a=2, s=16","a=10, s=2"
Yeast_CYTvsNUC,"a=4, s=8","a=8, s=8","a=2, s=2","a=6, s=8","a=10, s=1","a=6, s=16","a=8, s=4","a=2, s=2","a=8, s=20"
analcatdata_authorship,"a=10, s=1","a=6, s=8","a=4, s=8","a=8, s=12","a=2, s=20","a=4, s=1","a=8, s=2","a=8, s=20","a=8, s=16"
arrhythmia_cfs,"a=2, s=4","a=2, s=16","a=2, s=16","a=4, s=16","a=4, s=16","a=8, s=20","a=8, s=12","a=2, s=2","a=4, s=20"
bands,"a=2, s=4","a=4, s=4","a=4, s=20","a=8, s=4","a=2, s=20","a=6, s=1","a=8, s=12","a=6, s=4","a=8, s=2"
banknote_authentication,"a=2, s=2","a=8, s=1","a=8, s=1","a=4, s=8","a=2, s=2","a=10, s=16","a=2, s=2","a=2, s=4","a=4, s=1"
bodyfat,"a=2, s=12","a=6, s=2","a=2, s=1","a=4, s=1","a=10, s=1","a=6, s=4","a=6, s=2","a=6, s=2","a=2, s=8"
breast-w,"a=4, s=12","a=8, s=1","a=6, s=12","a=6, s=8","a=8, s=8","a=10, s=12","a=4, s=1","a=6, s=20","a=10, s=20"
breastcancer,"a=10, s=12","a=10, s=12","a=10, s=12","a=10, s=12","a=2, s=2","a=10, s=12","a=10, s=2","a=10, s=12","a=10, s=12"
bupa,"a=4, s=16","a=4, s=4","a=4, s=12","a=10, s=16","a=8, s=4","a=2, s=2","a=4, s=1","a=4, s=12","a=2, s=4"
chatfield_4,"a=6, s=20","a=8, s=2","a=10, s=12","a=8, s=1","a=2, s=16","a=8, s=12","a=2, s=12","a=8, s=12","a=2, s=20"
cleveland,"a=4, s=12","a=2, s=20","a=4, s=16","a=6, s=1","a=8, s=1","a=8, s=1","a=6, s=16","a=4, s=8","a=8, s=12"
contraceptive_LS,"a=4, s=12","a=6, s=20","a=6, s=16","a=2, s=1","a=6, s=1","a=6, s=4","a=6, s=8","a=8, s=8","a=4, s=1"
contraceptive_NL,"a=8, s=2","a=4, s=2","a=4, s=12","a=2, s=1","a=10, s=20","a=8, s=12","a=4, s=1","a=4, s=20","a=8, s=8"
contraceptive_NS,"a=6, s=16","a=4, s=1","a=4, s=1","a=8, s=1","a=6, s=8","a=2, s=1","a=4, s=20","a=6, s=16","a=2, s=1"
credit-g,"a=4, s=1","a=6, s=8","a=2, s=8","a=2, s=2","a=2, s=20","a=6, s=16","a=10, s=2","a=8, s=20","a=6, s=2"
diabetes,"a=8, s=20","a=4, s=4","a=6, s=16","a=2, s=20","a=8, s=8","a=2, s=2","a=2, s=20","a=10, s=12","a=8, s=20"
diabetic_retinopathy,"a=10, s=1","a=8, s=8","a=2, s=16","a=4, s=1","a=6, s=20","a=6, s=16","a=8, s=12","a=4, s=8","a=6, s=1"
fri_c0_250_50,"a=6, s=8","a=2, s=8","a=6, s=8","a=8, s=4","a=4, s=2","a=10, s=1","a=8, s=1","a=2, s=8","a=10, s=2"
glass0,"a=2, s=2","a=2, s=4","a=4, s=2","a=2, s=2","a=10, s=2","a=8, s=12","a=4, s=2","a=8, s=8","a=4, s=16"
glass1,"a=4, s=8","a=4, s=8","a=10, s=12","a=4, s=2","a=8, s=20","a=8, s=12","a=4, s=1","a=6, s=16","a=8, s=2"
hill_valley_without_noise_traintest,"a=6, s=4","a=8, s=16","a=4, s=16","a=10, s=4","a=2, s=8","a=8, s=2","a=10, s=4","a=10, s=8","a=2, s=2"
ilpd,"a=8, s=1","a=10, s=1","a=10, s=2","a=6, s=20","a=8, s=4","a=6, s=16","a=2, s=4","a=4, s=1","a=8, s=12"
ionosphere,"a=4, s=20","a=2, s=2","a=4, s=1","a=10, s=4","a=2, s=1","a=10, s=16","a=6, s=1","a=6, s=1","a=8, s=2"
liver-disorders,"a=6, s=12","a=6, s=8","a=8, s=1","a=10, s=8","a=10, s=1","a=6, s=1","a=6, s=1","a=4, s=12","a=8, s=16"
mammographic,"a=6, s=1","a=2, s=1","a=10, s=1","a=4, s=1","a=10, s=1","a=10, s=1","a=10, s=1","a=6, s=1","a=8, s=1"
musk1,"a=4, s=4","a=4, s=16","a=4, s=1","a=10, s=8","a=6, s=2","a=6, s=8","a=8, s=2","a=6, s=12","a=6, s=16"
parkinsons,"a=4, s=4","a=6, s=8","a=4, s=4","a=10, s=4","a=2, s=12","a=10, s=12","a=6, s=12","a=2, s=20","a=4, s=20"
phoneme,"a=4, s=4","a=8, s=8","a=8, s=20","a=2, s=4","a=10, s=2","a=4, s=8","a=4, s=20","a=6, s=20","a=2, s=8"
pima,"a=4, s=8","a=6, s=12","a=2, s=8","a=6, s=4","a=8, s=16","a=2, s=8","a=10, s=20","a=2, s=16","a=4, s=2"
profb,"a=10, s=20","a=8, s=20","a=2, s=12","a=10, s=2","a=2, s=20","a=6, s=20","a=6, s=8","a=2, s=2","a=2, s=2"
ring,"a=2, s=2","a=6, s=8","a=6, s=1","a=4, s=1","a=8, s=1","a=2, s=2","a=8, s=1","a=6, s=1","a=4, s=1"
