Dataset,CLD,DCP,F1,Hostility,LSC,N1,N2,TD_U,kDN
WineQualityRed_5vs6,"a=4, s=2","a=6, s=12","a=20, s=30","a=4, s=4","a=20, s=2","a=2, s=2","a=8, s=1","a=2, s=16","a=10, s=2"
Yeast_CYTvsNUC,"a=2, s=14","a=12, s=12","a=10, s=18","a=2, s=28","a=16, s=12","a=14, s=12","a=14, s=4","a=6, s=6","a=4, s=14"
analcatdata_authorship,"a=10, s=1","a=4, s=6","a=4, s=8","a=16, s=2","a=2, s=20","a=12, s=16","a=8, s=2","a=2, s=18","a=18, s=10"
arrhythmia_cfs,"a=2, s=14","a=2, s=16","a=4, s=14","a=6, s=10","a=2, s=28","a=12, s=8","a=20, s=18","a=2, s=2","a=2, s=14"
bands,"a=2, s=4","a=4, s=4","a=14, s=18","a=18, s=18","a=2, s=20","a=20, s=8","a=10, s=18","a=6, s=10","a=10, s=10"
banknote_authentication,"a=2, s=2","a=12, s=1","a=8, s=1","a=4, s=8","a=2, s=2","a=16, s=10","a=2, s=2","a=2, s=4","a=16, s=16"
bodyfat,"a=2, s=28","a=10, s=10","a=20, s=1","a=4, s=1","a=20, s=26","a=10, s=10","a=6, s=2","a=10, s=10","a=2, s=8"
breast-w,"a=4, s=12","a=14, s=6","a=14, s=12","a=6, s=8","a=10, s=14","a=4, s=30","a=4, s=1","a=4, s=14","a=10, s=20"
breastcancer,"a=6, s=22","a=16, s=26","a=16, s=26","a=16, s=26","a=2, s=14","a=16, s=26","a=4, s=6","a=16, s=26","a=16, s=26"
bupa,"a=20, s=2","a=14, s=14","a=14, s=20","a=18, s=6","a=14, s=1","a=6, s=30","a=4, s=1","a=2, s=6","a=2, s=4"
chatfield_4,"a=2, s=10","a=10, s=18","a=4, s=26","a=8, s=1","a=2, s=10","a=16, s=12","a=4, s=22","a=10, s=24","a=18, s=1"
cleveland,"a=16, s=14","a=2, s=20","a=14, s=12","a=12, s=28","a=14, s=16","a=6, s=28","a=16, s=18","a=16, s=24","a=12, s=1"
contraceptive_LS,"a=4, s=12","a=6, s=28","a=6, s=18","a=14, s=12","a=12, s=1","a=6, s=24","a=18, s=1","a=14, s=1","a=4, s=26"
contraceptive_NL,"a=14, s=1","a=4, s=2","a=18, s=2","a=2, s=1","a=18, s=14","a=8, s=12","a=14, s=1","a=16, s=14","a=18, s=22"
contraceptive_NS,"a=20, s=28","a=6, s=26","a=16, s=4","a=8, s=1","a=8, s=24","a=2, s=1","a=20, s=2","a=12, s=8","a=2, s=1"
credit-g,"a=4, s=10","a=6, s=18","a=4, s=14","a=4, s=6","a=6, s=14","a=8, s=10","a=6, s=22","a=16, s=30","a=14, s=2"
diabetes,"a=14, s=26","a=20, s=18","a=6, s=16","a=12, s=18","a=8, s=18","a=20, s=24","a=18, s=14","a=10, s=12","a=16, s=30"
diabetic_retinopathy,"a=2, s=18","a=6, s=6","a=18, s=26","a=20, s=8","a=16, s=2","a=8, s=10","a=18, s=24","a=20, s=22","a=10, s=14"
fri_c0_250_50,"a=6, s=8","a=2, s=6","a=6, s=26","a=8, s=4","a=18, s=1","a=12, s=6","a=12, s=1","a=2, s=6","a=16, s=1"
glass0,"a=2, s=2","a=18, s=18","a=4, s=2","a=18, s=1","a=4, s=10","a=14, s=2","a=20, s=2","a=8, s=8","a=6, s=6"
glass1,"a=10, s=6","a=2, s=10","a=10, s=12","a=12, s=4","a=16, s=6","a=8, s=18","a=20, s=30","a=6, s=16","a=20, s=2"
hill_valley_without_noise_traintest,"a=12, s=6","a=12, s=14","a=4, s=16","a=8, s=6","a=2, s=8","a=8, s=2","a=4, s=6","a=12, s=6","a=2, s=2"
ilpd,"a=8, s=1","a=2, s=14","a=14, s=2","a=20, s=2","a=8, s=4","a=20, s=28","a=12, s=2","a=16, s=1","a=18, s=10"
ionosphere,"a=4, s=20","a=4, s=14","a=4, s=10","a=16, s=14","a=2, s=1","a=10, s=16","a=6, s=1","a=6, s=1","a=8, s=26"
liver-disorders,"a=8, s=18","a=8, s=22","a=20, s=1","a=18, s=24","a=20, s=1","a=16, s=2","a=18, s=1","a=10, s=28","a=14, s=1"
mammographic,"a=20, s=1","a=18, s=1","a=16, s=1","a=12, s=1","a=10, s=1","a=10, s=1","a=18, s=28","a=16, s=1","a=16, s=1"
musk1,"a=4, s=4","a=4, s=16","a=20, s=12","a=20, s=2","a=18, s=10","a=6, s=8","a=16, s=6","a=2, s=30","a=18, s=8"
parkinsons,"a=14, s=2","a=6, s=8","a=4, s=14","a=2, s=6","a=14, s=12","a=20, s=6","a=2, s=18","a=2, s=20","a=18, s=6"
