Dataset,CLD,DCP,F1,Hostility,LSC,N1,N2,TD_U,kDN
WineQualityRed_5vs6,"a=4, s=2","a=6, s=12","a=2, s=20","a=4, s=4","a=6, s=4","a=2, s=2","a=8, s=1","a=2, s=16","a=10, s=2"
Yeast_CYTvsNUC,"a=2, s=14","a=8, s=8","a=10, s=18","a=6, s=8","a=10, s=14","a=6, s=16","a=8, s=6","a=6, s=6","a=4, s=14"
analcatdata_authorship,"a=10, s=1","a=4, s=6","a=4, s=8","a=8, s=12","a=2, s=20","a=4, s=1","a=8, s=2","a=2, s=18","a=4, s=10"
arrhythmia_cfs,"a=2, s=14","a=2, s=16","a=4, s=14","a=6, s=10","a=4, s=16","a=8, s=20","a=4, s=6","a=2, s=2","a=2, s=14"
bands,"a=2, s=4","a=4, s=4","a=4, s=20","a=8, s=4","a=2, s=20","a=6, s=1","a=10, s=18","a=6, s=10","a=10, s=10"
banknote_authentication,"a=2, s=2","a=8, s=1","a=8, s=1","a=4, s=8","a=2, s=2","a=6, s=6","a=2, s=2","a=2, s=4","a=4, s=1"
bodyfat,"a=2, s=12","a=10, s=10","a=2, s=6","a=4, s=1","a=10, s=1","a=10, s=10","a=6, s=2","a=10, s=10","a=2, s=8"
breast-w,"a=4, s=12","a=4, s=10","a=6, s=12","a=6, s=8","a=10, s=14","a=10, s=12","a=4, s=1","a=4, s=14","a=10, s=20"
breastcancer,"a=4, s=6","a=4, s=6","a=4, s=6","a=4, s=6","a=2, s=14","a=4, s=6","a=4, s=6","a=4, s=6","a=4, s=6"
bupa,"a=4, s=16","a=4, s=4","a=4, s=12","a=10, s=16","a=8, s=4","a=2, s=2","a=4, s=1","a=2, s=6","a=2, s=4"
chatfield_4,"a=2, s=10","a=10, s=18","a=10, s=12","a=8, s=1","a=2, s=10","a=4, s=10","a=2, s=12","a=8, s=18","a=2, s=20"
