Dataset,Standard_Bag,Grouped_Bag,Incre_Bag,CDB_Best_Host,CDB_Best_kDN,CDB_Best_CLD,CDB_Best_LSC,CDB_Best_N1,CDB_Best_N2,CDB_Best_DCP,CDB_Best_TD_U,CDB_Best_F1
breast-w,0.957 (0.007),0.954 (0.006),0.955 (0.007),0.961 (0.004),0.962 (0.005),0.961 (0.009),0.965 (0.01),0.958 (0.003),0.963 (0.005),0.962 (0.009),0.96 (0.007),0.962 (0.007)
bodyfat,0.996 (0.002),0.996 (0.0),0.996 (0.001),0.996 (0.0),0.996 (0.0),0.996 (0.001),0.996 (0.001),0.996 (0.0),0.996 (0.0),0.996 (0.0),0.996 (0.0),0.996 (0.0)
glass1,0.797 (0.015),0.802 (0.015),0.804 (0.023),0.822 (0.022),0.814 (0.014),0.816 (0.037),0.824 (0.019),0.803 (0.017),0.815 (0.011),0.816 (0.037),0.81 (0.034),0.812 (0.014)
credit-g,0.752 (0.019),0.758 (0.018),0.755 (0.029),0.763 (0.018),0.768 (0.011),0.77 (0.012),0.758 (0.016),0.766 (0.009),0.764 (0.015),0.771 (0.014),0.766 (0.023),0.76 (0.02)
bupa,0.714 (0.019),0.703 (0.031),0.704 (0.032),0.733 (0.021),0.743 (0.032),0.741 (0.039),0.732 (0.026),0.731 (0.024),0.729 (0.022),0.722 (0.02),0.719 (0.018),0.729 (0.017)
arrhythmia_cfs,0.831 (0.029),0.84 (0.03),0.838 (0.023),0.851 (0.041),0.852 (0.028),0.84 (0.034),0.85 (0.027),0.853 (0.02),0.854 (0.022),0.847 (0.012),0.839 (0.04),0.846 (0.024)
segment,0.972 (0.006),,,0.974 (0.01),0.974 (0.007),0.974 (0.014),0.972 (0.012),0.973 (0.007),0.973 (0.009),0.974 (0.011),0.975 (0.011),0.976 (0.015)
ilpd,0.71 (0.01),0.686 (0.008),0.683 (0.011),0.725 (0.01),0.725 (0.011),0.727 (0.011),0.719 (0.017),0.715 (0.013),0.719 (0.017),0.729 (0.01),0.718 (0.017),0.726 (0.014)
liver-disorders,0.741 (0.029),0.746 (0.012),0.749 (0.01),0.762 (0.027),0.753 (0.013),0.751 (0.023),0.774 (0.02),0.76 (0.014),0.764 (0.014),0.769 (0.016),0.754 (0.012),0.752 (0.019)
ionosphere,0.915 (0.005),0.92 (0.01),0.922 (0.008),0.922 (0.015),0.924 (0.01),0.923 (0.007),0.926 (0.013),0.926 (0.006),0.929 (0.011),0.921 (0.009),0.928 (0.015),0.922 (0.007)
