col_1,col_2,col_3,class
Africa,28.0,41.0,majority
Belize,6.0,4.0,majority
Bolivia,21.0,51.0,majority
Brazil,164.0,178.0,majority
Cambodia,0.0,59.0,majority
Canada,12.0,12.0,majority
Chile,252.0,263.0,minority
China,52.0,62.0,minority
Colombia,699.0,527.0,minority
Costa_Rica,73.0,55.0,majority
Dominican_Republic,54.0,50.0,majority
Ecuador,41.0,11.0,majority
El_Salvador,88.0,122.0,majority
Greece,10.0,5.0,minority
Guatamala,209.0,324.0,minority
Haiti,41.0,52.0,majority
Honduras,161.0,244.0,minority
Hong_Kong,49.0,40.0,majority
Hungary,6.0,25.0,majority
India,698.0,448.0,minority
Jamaica,30.0,39.0,majority
Japan,69.0,83.0,majority
Lebanon,23.0,17.0,majority
Mexico,123.0,106.0,majority
Nicaragua,5.0,11.0,majority
Oceania,15.0,16.0,majority
Pakistan,10.0,9.0,majority
Panama,23.0,10.0,majority
Paraguay,300.0,177.0,minority
Peru,142.0,722.0,minority
Phillipines,476.0,417.0,minority
Poland,51.0,95.0,majority
Portugal,17.0,10.0,minority
Romania,0.0,2552.0,majority
South_Korea,4942.0,1817.0,minority
Taiwan,56.0,55.0,majority
Thailand,75.0,127.0,majority
Turkey,11.0,6.0,majority
Vietnam,1.0,17.0,majority
