AC1,AC9,AC16,CL7,CL11,IJ2,IJ3,IJ4,IJ6,IJ12,Total,class
0,0,0,0,0,0,0,0,0,0,22,majority
0,0,0,0,0,0,0,0,0,1,1,majority
0,0,0,0,0,0,0,0,1,0,4,majority
0,0,0,0,0,0,0,1,0,0,2,majority
0,0,0,0,0,0,1,0,0,0,3,majority
0,0,0,0,0,1,0,0,0,0,10,majority
0,0,0,0,0,1,0,0,1,0,2,majority
0,0,0,0,0,1,1,0,0,0,4,majority
0,0,0,0,0,1,1,0,0,1,1,minority
0,0,0,0,0,1,1,0,1,0,4,minority
0,0,0,0,1,0,0,0,0,1,1,minority
0,0,0,0,1,1,1,0,1,0,1,majority
0,0,0,1,0,0,0,0,0,0,8,majority
0,0,0,1,0,0,0,1,1,0,1,majority
0,0,0,1,0,1,0,0,0,0,3,majority
0,0,0,1,0,1,0,0,1,0,1,majority
0,0,0,1,0,1,1,1,0,0,1,minority
0,0,0,1,1,0,0,0,0,0,1,majority
0,0,0,1,1,1,0,0,0,0,1,minority
0,0,0,1,1,1,1,1,1,0,1,minority
0,0,1,0,0,0,0,0,0,0,1,majority
0,0,1,0,0,1,0,0,1,0,1,minority
0,0,1,0,1,1,0,0,0,0,1,minority
0,1,0,0,1,0,1,0,0,0,1,majority
1,0,0,0,0,0,0,0,0,0,10,majority
1,0,0,0,0,0,0,0,1,0,2,majority
1,0,0,0,0,0,0,0,1,1,1,majority
1,0,0,0,0,1,0,0,0,0,8,majority
1,0,0,0,0,1,0,0,1,0,7,minority
1,0,0,0,1,0,0,0,0,0,1,majority
1,0,0,0,1,1,0,0,0,0,6,minority
1,0,0,0,1,1,0,0,0,1,1,majority
1,0,0,0,1,1,0,0,1,0,3,majority
1,0,0,1,0,0,0,0,0,0,3,majority
1,0,0,1,0,0,0,0,1,0,1,majority
1,0,0,1,0,0,0,1,0,0,1,majority
1,0,0,1,0,1,0,0,1,0,2,majority
1,0,0,1,1,0,0,0,1,0,1,majority
1,0,0,1,1,1,0,0,0,0,1,minority
1,0,0,1,1,1,0,0,0,1,1,minority
1,1,0,0,0,0,0,0,0,0,1,majority
1,1,0,0,0,1,0,0,1,0,1,minority
