year_zone,year,strip,pdk,damage_rankRJT,damage_rankALL,dry_or_irr,zone,class
6f,86,3.0,1.0,1,0,D,F,minority
6f,86,3.0,2.0,0,0,D,F,majority
6f,86,3.0,3.0,1,1,D,F,majority
6f,86,3.0,4.0,1,0,D,F,majority
6f,86,3.0,5.0,0,0,D,F,minority
6f,86,4.0,1.0,0,1,D,F,minority
6f,86,4.0,2.0,2,2,D,F,majority
6f,86,4.0,3.0,1,0,D,F,minority
6m,86,6.0,1.0,2,0,D,M,majority
6m,86,6.0,2.0,3,3,D,M,majority
6m,86,6.0,3.0,1,1,D,M,minority
6c,86,10.0,1.0,1,1,D,C,majority
6c,86,10.0,2.0,3,4,O,C,majority
6c,86,10.0,3.0,3,3,D,C,majority
6c,86,10.0,4.0,3,2,D,C,majority
6c,86,10.0,5.0,3,3,D,C,majority
7f,87,1.0,2.0,2,1,D,F,majority
7f,87,1.0,3.0,3,3,D,F,majority
7f,87,2.0,1.0,2,1,D,F,majority
7f,87,3.0,1.0,0,1,D,F,minority
7f,87,3.0,2.0,1,0,D,F,minority
7f,87,3.0,3.0,0,0,D,F,minority
7f,87,3.0,4.0,2,1,D,F,minority
7f,87,3.0,5.0,0,1,D,F,minority
7m,87,5.0,1.0,2,3,B,M,minority
7m,87,5.0,2.0,1,2,D,M,majority
7m,87,5.0,3.0,0,0,D,M,minority
7m,87,5.0,4.0,1,1,D,M,minority
7m,87,6.0,2.0,2,1,D,M,minority
7m,87,6.0,4.0,3,1,D,M,majority
7c,87,10.0,1.0,3,2,D,C,majority
7c,87,10.0,2.0,3,2,D,C,majority
7c,87,10.0,3.0,2,2,D,C,majority
7c,87,10.0,4.0,1,1,O,C,majority
7c,87,10.0,5.0,2,3,D,C,majority
8f,88,1.0,0.0,5,3,D,F,majority
8f,88,1.0,1.0,0,0,D,F,minority
8f,88,1.0,2.0,3,1,D,F,majority
8f,88,1.0,4.0,2,1,D,F,majority
8f,88,3.0,1.0,1,1,D,F,minority
8f,88,3.0,2.0,2,2,D,F,majority
8f,88,3.0,3.0,1,0,D,F,minority
8m,88,6.0,3.0,1,1,D,M,minority
8m,88,6.0,4.0,0,0,D,M,minority
8m,88,7.0,1.0,0,1,B,M,minority
8m,88,7.0,2.0,0,0,B,M,majority
8m,88,7.0,3.0,1,2,B,M,minority
8c,88,9.0,1.0,2,2,D,C,majority
8c,88,9.0,2.0,1,1,D,C,majority
8c,88,9.0,3.0,2,0,D,C,majority
8c,88,10.0,1.0,3,3,O,C,majority
8c,88,10.0,2.0,5,2,D,C,majority
8c,88,10.0,4.0,4,3,D,C,majority
9f,89,1.0,1.0,4,4,D,F,majority
9f,89,1.0,2.0,5,5,D,F,majority
9f,89,1.0,3.0,0,0,D,F,minority
9f,89,1.0,4.0,2,4,D,F,majority
9f,89,2.0,1.0,4,1,D,F,majority
9f,89,2.0,2.0,2,1,D,F,majority
9f,89,2.0,3.0,3,4,D,F,majority
9f,89,3.0,1.0,1,1,D,F,majority
9f,89,3.0,2.0,3,2,D,F,majority
9f,89,3.0,3.0,4,4,D,F,majority
9f,89,4.0,1.0,4,2,D,F,majority
9f,89,4.0,2.0,1,4,D,F,majority
9m,89,5.0,1.0,0,0,B,M,minority
9m,89,5.0,2.0,3,4,D,M,majority
9m,89,6.0,1.0,2,2,D,M,minority
9m,89,6.0,2.0,4,4,D,M,minority
9m,89,6.0,3.0,5,4,D,M,majority
9m,89,7.0,1.0,0,2,B,M,majority
9m,89,7.0,2.0,1,0,B,M,minority
9c,89,9.0,1.0,1,2,D,C,minority
9c,89,9.0,2.0,3,3,D,C,minority
9c,89,9.0,3.0,2,1,D,C,majority
9c,89,10.0,1.0,2,4,O,C,majority
9c,89,10.0,2.0,2,1,D,C,minority
9c,89,10.0,3.0,1,3,O,C,majority
0f,90,1.0,1.0,5,5,D,F,majority
0f,90,1.0,2.0,1,1,D,F,majority
0f,90,1.0,3.0,1,1,D,F,majority
0f,90,2.0,1.0,3,3,D,F,majority
0f,90,2.0,2.0,2,2,D,F,majority
0f,90,2.0,3.0,0,0,D,F,minority
0f,90,3.0,1.0,1,1,O,F,majority
0f,90,3.0,2.0,2,3,D,F,majority
0f,90,3.0,3.0,4,4,D,F,majority
0f,90,4.0,1.0,5,4,D,F,majority
0f,90,4.0,2.0,3,3,D,F,majority
0f,90,4.0,3.0,3,4,D,F,majority
0m,90,5.0,1.0,0,0,B,M,minority
0m,90,5.0,2.0,5,5,D,M,majority
0m,90,5.0,3.0,1,1,B,M,majority
0m,90,6.0,1.0,1,1,D,M,minority
0m,90,6.0,2.0,2,1,D,M,minority
0m,90,6.0,3.0,4,4,D,M,majority
0m,90,7.0,1.0,0,0,B,M,minority
0m,90,7.0,2.0,4,3,D,M,majority
0c,90,9.0,1.0,4,2,D,C,majority
0c,90,9.0,2.0,2,2,D,C,majority
0c,90,9.0,3.0,4,4,D,C,majority
0c,90,10.0,1.0,3,3,O,C,majority
0c,90,10.0,2.0,4,4,D,C,majority
0c,90,10.0,3.0,5,5,O,C,majority
1f,91,1.0,1.0,1,1,D,F,majority
1f,91,1.0,2.0,2,2,D,F,majority
1f,91,1.0,3.0,5,4,D,F,majority
1f,91,2.0,1.0,3,3,D,F,majority
1f,91,2.0,2.0,1,1,D,F,majority
1f,91,2.0,3.0,2,1,D,F,minority
1f,91,3.0,1.0,2,2,D,F,majority
1f,91,3.0,2.0,0,0,D,F,majority
1f,91,4.0,1.0,3,2,D,F,minority
1f,91,4.0,2.0,1,2,D,F,majority
1f,91,4.0,3.0,1,1,D,F,minority
1m,91,5.0,1.0,0,1,B,M,minority
1m,91,5.0,2.0,2,2,B,M,minority
1m,91,5.0,3.0,2,2,B,M,minority
1m,91,6.0,1.0,5,5,D,M,majority
1m,91,6.0,2.0,2,1,B,M,minority
1m,91,6.0,3.0,3,2,D,M,minority
1m,91,7.0,1.0,0,0,B,M,minority
1m,91,7.0,2.0,3,0,D,M,majority
1c,91,9.0,1.0,3,2,D,C,majority
1c,91,9.0,2.0,3,3,D,C,minority
1c,91,9.0,3.0,3,2,B,C,majority
1c,91,10.0,1.0,5,4,D,C,majority
1c,91,10.0,2.0,3,3,O,C,majority
1c,91,10.0,3.0,2,1,O,C,majority
2f,92,1.0,1.0,1,1,D,F,majority
2f,92,1.0,2.0,0,0,D,F,majority
2f,92,1.0,3.0,3,3,D,F,minority
2f,92,1.0,4.0,3,3,D,F,majority
2f,92,2.0,1.0,1,1,D,F,majority
2f,92,2.0,2.0,2,2,D,F,minority
2f,92,2.0,3.0,4,4,D,F,majority
2f,92,3.0,1.0,3,3,D,F,majority
2f,92,3.0,2.0,2,2,D,F,majority
2f,92,3.0,3.0,1,1,O,F,majority
2f,92,4.0,1.0,3,3,D,F,majority
2f,92,4.0,2.0,4,4,D,F,majority
2f,92,4.0,3.0,1,1,D,F,minority
2m,92,6.0,1.0,0,0,B,M,minority
2m,92,6.0,2.0,2,2,D,M,minority
2m,92,6.0,3.0,4,4,D,M,majority
2m,92,7.0,1.0,2,1,B,M,majority
2m,92,7.0,2.0,5,4,D,M,majority
2m,92,7.0,3.0,3,3,D,M,majority
2c,92,9.0,1.0,1,2,D,C,majority
2c,92,9.0,2.0,4,4,D,C,majority
2c,92,9.0,4.0,1,1,B,C,majority
2c,92,10.0,1.0,3,3,O,C,majority
2c,92,10.0,2.0,1,1,D,C,majority
2c,92,10.0,3.0,2,2,O,C,majority
2c,92,10.0,4.0,3,3,D,C,majority
