col_1,col_2,class
1.0,4.4,majority
1.0,3.9,majority
1.0,4.0,minority
1.0,4.0,majority
1.0,3.5,majority
1.0,4.1,majority
1.0,2.3,minority
1.0,4.7,majority
1.0,1.7,minority
1.0,4.9,majority
1.0,1.7,minority
1.0,4.6,majority
1.0,3.4,majority
2.0,4.3,majority
2.0,1.7,minority
2.0,3.9,majority
2.0,3.7,minority
2.0,3.1,minority
2.0,4.0,majority
2.0,1.8,minority
2.0,4.1,majority
2.0,1.8,minority
2.0,3.2,majority
2.0,1.9,minority
2.0,4.6,majority
2.0,2.0,minority
3.0,4.5,majority
3.0,3.9,majority
3.0,4.3,majority
3.0,2.3,minority
3.0,3.8,majority
3.0,1.9,minority
3.0,4.6,majority
3.0,1.8,minority
3.0,4.7,majority
3.0,1.8,minority
3.0,4.6,majority
3.0,1.9,minority
3.0,3.5,majority
4.0,4.0,majority
4.0,3.7,majority
4.0,3.7,minority
4.0,4.3,minority
4.0,3.6,majority
4.0,3.8,majority
4.0,3.8,majority
4.0,3.8,majority
4.0,2.5,minority
4.0,4.5,majority
4.0,4.1,minority
4.0,3.7,majority
4.0,3.8,minority
4.0,3.4,majority
5.0,4.0,minority
5.0,2.3,minority
5.0,4.4,majority
5.0,4.1,majority
5.0,4.3,majority
5.0,3.3,majority
5.0,2.0,minority
5.0,4.3,majority
5.0,2.9,minority
5.0,4.6,majority
5.0,1.9,minority
5.0,3.6,minority
5.0,3.7,majority
5.0,3.7,majority
6.0,1.8,minority
6.0,4.6,majority
6.0,3.5,majority
6.0,4.0,minority
6.0,3.7,majority
6.0,1.7,minority
6.0,4.6,majority
6.0,1.7,minority
6.0,4.0,majority
6.0,1.8,minority
6.0,4.4,majority
6.0,1.9,minority
6.0,4.6,majority
6.0,2.9,majority
7.0,3.5,majority
7.0,2.0,minority
7.0,4.3,majority
7.0,1.8,minority
7.0,4.1,majority
7.0,1.8,minority
7.0,4.7,majority
7.0,4.2,majority
7.0,3.9,majority
7.0,4.3,majority
7.0,1.8,minority
7.0,4.5,majority
7.0,2.0,minority
8.0,4.2,majority
8.0,4.4,majority
8.0,4.1,minority
8.0,4.1,majority
8.0,4.0,majority
8.0,4.1,majority
8.0,2.7,minority
8.0,4.6,majority
8.0,1.9,minority
8.0,4.5,majority
8.0,2.0,minority
8.0,4.8,majority
8.0,4.1,majority
16.0,4.1,majority
16.0,4.2,majority
16.0,4.5,majority
16.0,1.9,minority
16.0,4.7,majority
16.0,2.0,minority
16.0,4.7,majority
16.0,2.5,minority
16.0,4.3,majority
16.0,4.4,majority
16.0,4.4,majority
16.0,4.3,minority
16.0,4.6,majority
16.0,2.1,minority
17.0,4.8,majority
17.0,4.1,minority
17.0,4.0,minority
17.0,4.0,majority
17.0,4.4,majority
17.0,4.1,majority
17.0,4.3,majority
17.0,4.0,minority
17.0,3.9,majority
17.0,3.2,minority
17.0,4.5,majority
17.0,2.2,minority
17.0,4.7,majority
17.0,4.6,majority
18.0,2.2,minority
18.0,4.8,majority
18.0,4.3,majority
18.0,3.8,majority
18.0,4.0,majority
18.0,4.1,majority
18.0,1.8,minority
18.0,4.4,majority
18.0,4.0,majority
18.0,2.2,minority
18.0,5.1,majority
18.0,1.9,minority
18.0,5.0,majority
18.0,4.4,majority
19.0,4.5,majority
19.0,3.8,majority
19.0,4.3,majority
19.0,4.4,majority
19.0,2.2,minority
19.0,4.8,majority
19.0,1.9,minority
19.0,4.7,majority
19.0,1.8,minority
19.0,4.8,majority
19.0,2.0,minority
19.0,4.4,majority
19.0,2.5,minority
19.0,4.3,majority
20.0,4.4,majority
20.0,1.9,minority
20.0,4.7,majority
20.0,4.3,majority
20.0,2.2,minority
20.0,4.7,majority
20.0,2.3,minority
20.0,4.6,majority
20.0,3.3,minority
20.0,4.2,majority
20.0,2.9,minority
20.0,4.6,majority
20.0,3.3,minority
20.0,4.2,majority
20.0,2.6,minority
20.0,4.6,minority
21.0,3.7,majority
21.0,1.8,minority
21.0,4.7,majority
21.0,4.5,majority
21.0,4.5,minority
21.0,4.8,majority
21.0,2.0,minority
21.0,4.8,majority
21.0,1.9,minority
21.0,4.7,majority
21.0,2.0,minority
21.0,5.1,majority
21.0,4.3,majority
21.0,4.8,majority
22.0,3.0,majority
22.0,2.1,minority
22.0,4.6,majority
22.0,4.0,majority
22.0,2.2,minority
22.0,5.1,majority
22.0,2.9,minority
22.0,4.3,majority
22.0,2.1,minority
22.0,4.7,majority
22.0,4.5,minority
22.0,1.7,minority
22.0,4.2,majority
22.0,4.3,majority
23.0,1.7,minority
23.0,4.4,majority
23.0,4.2,majority
23.0,2.2,minority
23.0,4.7,majority
23.0,4.0,minority
23.0,1.8,minority
23.0,4.7,majority
23.0,1.8,minority
23.0,4.5,majority
23.0,2.1,minority
23.0,4.2,majority
23.0,2.1,minority
23.0,5.2,majority
23.0,2.0,minority
