year,month,class
1979.0,January,majority
1979.0,February,majority
1979.0,March,majority
1979.0,April,majority
1979.0,May,majority
1979.0,June,majority
1979.0,July,majority
1979.0,August,majority
1979.0,September,majority
1979.0,October,majority
1979.0,November,majority
1979.0,December,majority
1980.0,January,majority
1980.0,February,majority
1980.0,March,majority
1980.0,April,majority
1980.0,May,majority
1980.0,June,majority
1980.0,July,majority
1980.0,August,majority
1980.0,September,majority
1980.0,October,majority
1980.0,November,majority
1980.0,December,majority
1981.0,January,majority
1981.0,February,majority
1981.0,March,majority
1981.0,April,majority
1981.0,May,majority
1981.0,June,majority
1981.0,July,majority
1981.0,August,majority
1981.0,September,majority
1981.0,October,majority
1981.0,November,majority
1981.0,December,majority
1982.0,January,majority
1982.0,February,majority
1982.0,March,majority
1982.0,April,majority
1982.0,May,majority
1982.0,June,majority
1982.0,July,majority
1982.0,August,majority
1982.0,September,majority
1982.0,October,majority
1982.0,November,majority
1982.0,December,majority
1983.0,January,majority
1983.0,February,majority
1983.0,March,majority
1983.0,April,majority
1983.0,May,majority
1983.0,June,majority
1983.0,July,majority
1983.0,August,majority
1983.0,September,majority
1983.0,October,majority
1983.0,November,majority
1983.0,December,majority
1984.0,January,majority
1984.0,February,majority
1984.0,March,majority
1984.0,April,majority
1984.0,May,majority
1984.0,June,majority
1984.0,July,majority
1984.0,August,majority
1984.0,September,majority
1984.0,October,majority
1984.0,November,majority
1984.0,December,majority
1985.0,January,majority
1985.0,February,majority
1985.0,March,majority
1985.0,April,majority
1985.0,May,majority
1985.0,June,majority
1985.0,July,minority
1985.0,August,minority
1985.0,September,majority
1985.0,October,majority
1985.0,November,majority
1985.0,December,majority
1986.0,January,majority
1986.0,February,majority
1986.0,March,majority
1986.0,April,majority
1986.0,May,majority
1986.0,June,majority
1986.0,July,majority
1986.0,August,majority
1986.0,September,majority
1986.0,October,majority
1986.0,November,majority
1986.0,December,majority
1987.0,January,majority
1987.0,February,majority
1987.0,March,majority
1987.0,April,majority
1987.0,May,majority
1987.0,June,majority
1987.0,July,minority
1987.0,August,minority
1987.0,September,majority
1987.0,October,majority
1987.0,November,majority
1987.0,December,majority
1988.0,January,majority
1988.0,February,majority
1988.0,March,majority
1988.0,April,majority
1988.0,May,minority
1988.0,June,minority
1988.0,July,minority
1988.0,August,minority
1988.0,September,minority
1988.0,October,minority
1988.0,November,majority
1988.0,December,majority
1989.0,January,majority
1989.0,February,majority
1989.0,March,majority
1989.0,April,minority
1989.0,May,minority
1989.0,June,minority
1989.0,July,minority
1989.0,August,minority
1989.0,September,minority
1989.0,October,minority
1989.0,November,majority
1989.0,December,majority
1990.0,January,majority
1990.0,February,majority
1990.0,March,majority
1990.0,April,minority
1990.0,May,minority
1990.0,June,minority
1990.0,July,minority
1990.0,August,minority
1990.0,September,minority
1990.0,October,minority
1990.0,November,majority
1990.0,December,majority
1991.0,January,majority
1991.0,February,majority
1991.0,March,majority
1991.0,April,majority
1991.0,May,minority
1991.0,June,minority
1991.0,July,minority
1991.0,August,minority
1991.0,September,minority
1991.0,October,minority
1991.0,November,majority
1991.0,December,majority
1992.0,January,majority
1992.0,February,majority
1992.0,March,majority
1992.0,April,minority
1992.0,May,minority
1992.0,June,minority
1992.0,July,minority
1992.0,August,minority
1992.0,September,minority
1992.0,October,minority
1992.0,November,majority
1992.0,December,majority
1993.0,January,majority
1993.0,February,majority
1993.0,March,minority
1993.0,April,minority
1993.0,May,minority
1993.0,June,minority
1993.0,July,minority
1993.0,August,minority
1993.0,September,minority
1993.0,October,minority
1993.0,November,majority
1993.0,December,majority
1994.0,January,majority
1994.0,February,majority
1994.0,March,minority
1994.0,April,minority
1994.0,May,minority
1994.0,June,minority
1994.0,July,minority
1994.0,August,minority
1994.0,September,minority
1994.0,October,minority
1994.0,November,majority
1994.0,December,majority
1995.0,January,majority
1995.0,February,majority
1995.0,March,majority
1995.0,April,minority
1995.0,May,minority
1995.0,June,minority
1995.0,July,minority
1995.0,August,minority
1995.0,September,minority
1995.0,October,minority
1995.0,November,majority
1995.0,December,majority
1996.0,January,majority
1996.0,February,majority
1996.0,March,minority
1996.0,April,minority
1996.0,May,minority
1996.0,June,minority
1996.0,July,minority
1996.0,August,minority
1996.0,September,minority
1996.0,October,minority
1996.0,November,majority
1996.0,December,majority
1997.0,January,majority
1997.0,February,majority
1997.0,March,minority
1997.0,April,minority
1997.0,May,minority
1997.0,June,minority
1997.0,July,minority
1997.0,August,minority
1997.0,September,minority
1997.0,October,minority
1997.0,November,majority
1997.0,December,majority
1998.0,January,majority
1998.0,February,majority
1998.0,March,majority
1998.0,April,minority
1998.0,May,minority
1998.0,June,minority
1998.0,July,minority
1998.0,August,minority
1998.0,September,minority
1998.0,October,minority
1998.0,November,majority
1998.0,December,majority
1999.0,January,majority
1999.0,February,majority
1999.0,March,minority
1999.0,April,minority
1999.0,May,minority
1999.0,June,minority
1999.0,July,minority
1999.0,August,minority
1999.0,September,minority
1999.0,October,minority
1999.0,November,minority
1999.0,December,majority
2000.0,January,majority
2000.0,February,majority
2000.0,March,minority
2000.0,April,minority
2000.0,May,minority
2000.0,June,minority
2000.0,July,minority
2000.0,August,minority
2000.0,September,minority
2000.0,October,minority
2000.0,November,minority
2000.0,December,majority
