hobby,age,educational_level,marital_status,class
2.0,1.0,1.0,2.0,minority
2.0,1.0,3.0,2.0,majority
3.0,1.0,4.0,1.0,majority
2.0,4.0,2.0,2.0,majority
1.0,1.0,3.0,4.0,majority
1.0,1.0,3.0,2.0,majority
3.0,1.0,3.0,2.0,majority
3.0,4.0,2.0,4.0,majority
2.0,2.0,1.0,1.0,minority
3.0,2.0,1.0,1.0,minority
1.0,2.0,1.0,1.0,minority
2.0,2.0,3.0,4.0,majority
1.0,1.0,2.0,1.0,minority
2.0,1.0,2.0,2.0,majority
2.0,4.0,1.0,4.0,majority
1.0,1.0,3.0,3.0,minority
3.0,2.0,1.0,2.0,majority
1.0,2.0,1.0,1.0,minority
3.0,3.0,2.0,1.0,minority
3.0,1.0,3.0,2.0,minority
1.0,2.0,2.0,1.0,majority
3.0,2.0,1.0,3.0,minority
2.0,1.0,2.0,1.0,minority
3.0,2.0,1.0,3.0,minority
2.0,3.0,2.0,1.0,minority
3.0,2.0,2.0,1.0,majority
3.0,2.0,1.0,3.0,majority
2.0,1.0,2.0,2.0,majority
1.0,1.0,3.0,2.0,minority
3.0,2.0,1.0,1.0,minority
1.0,4.0,1.0,1.0,majority
2.0,2.0,1.0,3.0,minority
1.0,2.0,1.0,3.0,majority
1.0,1.0,1.0,2.0,minority
2.0,4.0,3.0,1.0,majority
3.0,1.0,2.0,2.0,majority
1.0,1.0,2.0,2.0,majority
3.0,2.0,2.0,1.0,majority
1.0,2.0,1.0,2.0,majority
3.0,4.0,3.0,2.0,majority
2.0,2.0,2.0,1.0,majority
2.0,2.0,1.0,2.0,majority
3.0,2.0,1.0,3.0,majority
3.0,2.0,1.0,1.0,minority
3.0,1.0,2.0,1.0,minority
1.0,2.0,1.0,3.0,majority
2.0,1.0,1.0,2.0,minority
1.0,1.0,1.0,2.0,minority
1.0,2.0,2.0,3.0,majority
3.0,3.0,1.0,1.0,minority
3.0,3.0,3.0,1.0,minority
3.0,2.0,1.0,2.0,majority
3.0,2.0,1.0,2.0,majority
3.0,1.0,2.0,1.0,minority
1.0,1.0,1.0,2.0,minority
2.0,1.0,3.0,2.0,minority
2.0,2.0,2.0,1.0,majority
2.0,1.0,2.0,1.0,minority
2.0,2.0,1.0,3.0,minority
2.0,1.0,2.0,2.0,majority
1.0,2.0,4.0,2.0,majority
2.0,2.0,1.0,2.0,majority
1.0,1.0,2.0,4.0,majority
1.0,3.0,2.0,1.0,minority
2.0,4.0,4.0,2.0,majority
2.0,3.0,2.0,1.0,minority
3.0,1.0,2.0,2.0,majority
1.0,1.0,2.0,2.0,majority
1.0,3.0,2.0,4.0,majority
1.0,1.0,2.0,2.0,majority
3.0,1.0,4.0,2.0,majority
2.0,1.0,3.0,2.0,majority
1.0,1.0,3.0,2.0,majority
3.0,1.0,3.0,2.0,minority
1.0,2.0,4.0,4.0,majority
1.0,4.0,2.0,1.0,majority
2.0,1.0,2.0,1.0,minority
3.0,4.0,1.0,2.0,majority
2.0,2.0,1.0,1.0,minority
1.0,1.0,2.0,1.0,minority
2.0,2.0,4.0,3.0,majority
3.0,1.0,2.0,2.0,majority
1.0,1.0,3.0,2.0,minority
1.0,2.0,1.0,3.0,minority
1.0,4.0,4.0,1.0,majority
3.0,3.0,3.0,2.0,majority
2.0,2.0,1.0,3.0,majority
3.0,3.0,2.0,1.0,majority
1.0,1.0,1.0,3.0,minority
2.0,2.0,1.0,2.0,majority
2.0,2.0,2.0,1.0,majority
2.0,3.0,2.0,3.0,majority
1.0,3.0,2.0,1.0,majority
2.0,2.0,1.0,2.0,majority
1.0,1.0,1.0,2.0,minority
3.0,2.0,2.0,1.0,majority
3.0,2.0,1.0,1.0,minority
1.0,1.0,2.0,1.0,minority
3.0,1.0,4.0,4.0,majority
3.0,3.0,2.0,1.0,majority
2.0,3.0,2.0,1.0,majority
2.0,1.0,3.0,1.0,minority
1.0,2.0,1.0,2.0,majority
3.0,1.0,1.0,2.0,minority
2.0,2.0,4.0,1.0,majority
1.0,2.0,2.0,1.0,majority
2.0,3.0,2.0,1.0,majority
2.0,2.0,1.0,4.0,majority
1.0,4.0,2.0,3.0,majority
2.0,2.0,1.0,1.0,minority
1.0,2.0,1.0,1.0,minority
2.0,2.0,3.0,2.0,majority
1.0,3.0,2.0,1.0,minority
3.0,1.0,2.0,1.0,minority
3.0,1.0,1.0,2.0,minority
3.0,3.0,1.0,4.0,majority
2.0,3.0,4.0,1.0,majority
1.0,2.0,3.0,3.0,majority
3.0,3.0,2.0,2.0,majority
3.0,3.0,4.0,2.0,majority
1.0,2.0,2.0,1.0,majority
2.0,1.0,1.0,4.0,majority
3.0,1.0,2.0,2.0,majority
3.0,2.0,2.0,4.0,majority
2.0,3.0,1.0,3.0,minority
2.0,1.0,1.0,2.0,minority
3.0,4.0,1.0,3.0,majority
1.0,1.0,4.0,3.0,majority
2.0,1.0,2.0,1.0,minority
1.0,2.0,1.0,2.0,majority
1.0,2.0,2.0,1.0,majority
3.0,1.0,1.0,2.0,minority
