Age,Disease,Positive,class
1.0,Mumps,56.0,minority
2.0,Mumps,48.0,minority
3.0,Mumps,137.0,minority
4.0,Mumps,195.0,minority
5.0,Mumps,290.0,minority
6.0,Mumps,255.0,minority
7.0,Mumps,236.0,minority
8.0,Mumps,211.0,minority
9.0,Mumps,271.0,minority
10.0,Mumps,276.0,minority
11.0,Mumps,259.0,minority
12.0,Mumps,301.0,minority
13.0,Mumps,296.0,minority
14.0,Mumps,345.0,minority
15.0,Mumps,112.0,majority
16.0,Mumps,112.0,minority
17.0,Mumps,142.0,minority
18.0,Mumps,186.0,minority
19.0,Mumps,202.0,minority
20.0,Mumps,156.0,minority
21.0,Mumps,155.0,minority
22.0,Mumps,200.0,minority
23.0,Mumps,166.0,minority
24.0,Mumps,165.0,minority
25.0,Mumps,179.0,minority
26.0,Mumps,171.0,minority
27.0,Mumps,175.0,minority
28.0,Mumps,147.0,minority
29.0,Mumps,137.0,minority
30.0,Mumps,114.0,minority
31.0,Mumps,117.0,minority
32.0,Mumps,99.0,majority
33.0,Mumps,95.0,majority
34.0,Mumps,80.0,majority
35.0,Mumps,77.0,majority
36.0,Mumps,65.0,majority
37.0,Mumps,63.0,majority
38.0,Mumps,69.0,majority
39.0,Mumps,46.0,majority
40.0,Mumps,61.0,majority
41.0,Mumps,55.0,majority
42.0,Mumps,42.0,majority
43.0,Mumps,37.0,majority
44.0,Mumps,39.0,majority
1.0,Rubella,31.0,minority
2.0,Rubella,30.0,minority
3.0,Rubella,34.0,minority
4.0,Rubella,57.0,minority
5.0,Rubella,95.0,minority
6.0,Rubella,104.0,minority
7.0,Rubella,90.0,minority
8.0,Rubella,96.0,minority
9.0,Rubella,134.0,minority
10.0,Rubella,110.0,minority
11.0,Rubella,111.0,minority
12.0,Rubella,147.0,minority
13.0,Rubella,138.0,minority
14.0,Rubella,141.0,minority
15.0,Rubella,53.0,majority
16.0,Rubella,49.0,majority
17.0,Rubella,73.0,majority
18.0,Rubella,69.0,majority
19.0,Rubella,97.0,majority
20.0,Rubella,65.0,majority
21.0,Rubella,74.0,majority
22.0,Rubella,84.0,majority
23.0,Rubella,82.0,majority
24.0,Rubella,79.0,majority
25.0,Rubella,90.0,majority
26.0,Rubella,84.0,majority
27.0,Rubella,81.0,majority
28.0,Rubella,72.0,majority
29.0,Rubella,71.0,majority
30.0,Rubella,51.0,majority
31.0,Rubella,45.0,majority
32.0,Rubella,45.0,majority
33.0,Rubella,35.0,majority
34.0,Rubella,39.0,majority
35.0,Rubella,36.0,majority
36.0,Rubella,37.0,majority
37.0,Rubella,37.0,majority
38.0,Rubella,37.0,majority
39.0,Rubella,28.0,majority
40.0,Rubella,26.0,majority
41.0,Rubella,25.0,majority
42.0,Rubella,21.0,majority
43.0,Rubella,18.0,majority
44.0,Rubella,18.0,majority
1.0,Parvovirus,9.0,majority
2.0,Parvovirus,12.0,majority
3.0,Parvovirus,12.0,majority
4.0,Parvovirus,18.0,majority
5.0,Parvovirus,23.0,majority
6.0,Parvovirus,27.0,majority
7.0,Parvovirus,28.0,majority
8.0,Parvovirus,27.0,majority
9.0,Parvovirus,44.0,majority
10.0,Parvovirus,39.0,majority
11.0,Parvovirus,34.0,majority
12.0,Parvovirus,52.0,majority
13.0,Parvovirus,32.0,majority
14.0,Parvovirus,58.0,majority
15.0,Parvovirus,27.0,majority
16.0,Parvovirus,37.0,majority
17.0,Parvovirus,53.0,majority
18.0,Parvovirus,49.0,majority
19.0,Parvovirus,51.0,majority
20.0,Parvovirus,61.0,majority
21.0,Parvovirus,51.0,majority
22.0,Parvovirus,62.0,majority
23.0,Parvovirus,69.0,minority
24.0,Parvovirus,62.0,minority
25.0,Parvovirus,57.0,majority
26.0,Parvovirus,40.0,majority
27.0,Parvovirus,47.0,majority
28.0,Parvovirus,37.0,majority
29.0,Parvovirus,63.0,majority
30.0,Parvovirus,38.0,majority
31.0,Parvovirus,23.0,majority
32.0,Parvovirus,36.0,majority
33.0,Parvovirus,33.0,majority
34.0,Parvovirus,38.0,majority
35.0,Parvovirus,21.0,majority
36.0,Parvovirus,24.0,majority
37.0,Parvovirus,28.0,majority
38.0,Parvovirus,18.0,majority
39.0,Parvovirus,25.0,majority
40.0,Parvovirus,22.0,majority
41.0,Parvovirus,9.0,majority
42.0,Parvovirus,12.0,majority
43.0,Parvovirus,14.0,majority
44.0,Parvovirus,16.0,majority
