ACTION,CONDITIONAL,CONTINUANCE,IMPERATIVE,OPTION,RISK_LEVEL,SOURCE,WEAK_PHRASE,class
1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,minority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,minority
2.0,0.0,1.0,1.0,0,2.0,1.0,0.0,minority
3.0,1.0,1.0,1.0,0,2.0,1.0,0.0,minority
1.0,0.0,1.0,0.0,0,2.0,6.0,0.0,minority
1.0,1.0,1.0,1.0,0,2.0,3.0,0.0,minority
2.0,0.0,1.0,1.0,0,3.0,2.0,1.0,minority
2.0,0.0,0.0,0.0,0,1.0,2.0,0.0,minority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,1.0,0.0,0.0,0,2.0,3.0,0.0,minority
1.0,0.0,0.0,1.0,0,3.0,6.0,1.0,minority
2.0,1.0,0.0,3.0,0,3.0,3.0,0.0,minority
2.0,0.0,0.0,1.0,0,2.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
3.0,0.0,4.0,4.0,0,3.0,11.0,0.0,minority
2.0,0.0,1.0,1.0,0,2.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,2.0,2.0,0,3.0,4.0,0.0,minority
1.0,1.0,0.0,2.0,0,2.0,2.0,0.0,minority
1.0,0.0,2.0,2.0,0,3.0,4.0,2.0,minority
2.0,0.0,2.0,2.0,0,2.0,3.0,0.0,minority
2.0,0.0,0.0,2.0,0,2.0,2.0,0.0,minority
3.0,1.0,2.0,2.0,0,3.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,1.0,1.0,1.0,0,2.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,2.0,3.0,0.0,minority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,minority
3.0,1.0,2.0,2.0,0,3.0,3.0,0.0,minority
2.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
2.0,1.0,1.0,0.0,0,2.0,1.0,0.0,minority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,minority
3.0,1.0,2.0,2.0,0,3.0,3.0,0.0,minority
3.0,1.0,1.0,1.0,0,2.0,1.0,0.0,minority
3.0,1.0,2.0,2.0,0,3.0,3.0,0.0,minority
3.0,1.0,1.0,1.0,0,2.0,1.0,0.0,minority
1.0,0.0,1.0,0.0,0,2.0,3.0,0.0,minority
2.0,1.0,1.0,0.0,0,2.0,1.0,0.0,minority
5.0,1.0,1.0,0.0,0,2.0,3.0,0.0,minority
2.0,0.0,0.0,0.0,0,2.0,6.0,0.0,minority
4.0,1.0,1.0,0.0,0,3.0,8.0,0.0,minority
1.0,1.0,2.0,2.0,0,2.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
3.0,1.0,1.0,1.0,0,2.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
2.0,0.0,2.0,2.0,0,2.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,2.0,2.0,0,3.0,8.0,0.0,minority
1.0,1.0,1.0,1.0,0,2.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
2.0,0.0,1.0,0.0,0,1.0,2.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,1.0,2.0,2.0,0,2.0,2.0,0.0,minority
1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,2.0,3.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,2.0,4.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,minority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,minority
2.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
2.0,0.0,1.0,1.0,0,2.0,2.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
2.0,1.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,minority
2.0,1.0,1.0,1.0,0,2.0,4.0,0.0,minority
3.0,1.0,1.0,0.0,0,2.0,3.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,1.0,0.0,1.0,0,2.0,2.0,0.0,minority
2.0,0.0,0.0,0.0,1,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,minority
2.0,0.0,1.0,1.0,0,2.0,2.0,0.0,minority
1.0,0.0,1.0,1.0,0,2.0,3.0,0.0,minority
1.0,0.0,0.0,0.0,0,2.0,4.0,0.0,minority
1.0,0.0,0.0,0.0,0,2.0,6.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,minority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
3.0,1.0,2.0,2.0,0,3.0,2.0,0.0,majority
3.0,1.0,2.0,2.0,0,3.0,2.0,0.0,majority
3.0,1.0,3.0,3.0,3,3.0,2.0,0.0,majority
3.0,1.0,4.0,4.0,0,3.0,4.0,0.0,majority
2.0,0.0,2.0,2.0,0,3.0,4.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,0.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
4.0,0.0,2.0,2.0,0,3.0,2.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
4.0,0.0,3.0,0.0,0,3.0,6.0,0.0,majority
2.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,0.0,1.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
2.0,0.0,5.0,5.0,0,3.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,2.0,3.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,2.0,2.0,0,3.0,4.0,0.0,majority
4.0,1.0,2.0,2.0,0,3.0,2.0,0.0,majority
1.0,0.0,1.0,1.0,0,2.0,3.0,0.0,majority
1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
2.0,1.0,1.0,0.0,0,2.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
1.0,0.0,1.0,0.0,0,1.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
4.0,1.0,2.0,2.0,0,3.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
3.0,1.0,1.0,0.0,0,2.0,2.0,0.0,majority
2.0,1.0,1.0,0.0,0,2.0,5.0,0.0,majority
2.0,0.0,1.0,1.0,0,2.0,2.0,0.0,majority
2.0,1.0,1.0,0.0,0,2.0,1.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
2.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
2.0,1.0,2.0,2.0,0,2.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
4.0,0.0,2.0,2.0,0,3.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
4.0,1.0,4.0,4.0,0,3.0,2.0,0.0,majority
4.0,0.0,1.0,1.0,1,2.0,2.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,0,1.0,1.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
1.0,0.0,1.0,0.0,0,1.0,2.0,0.0,majority
5.0,1.0,1.0,1.0,0,3.0,4.0,0.0,majority
4.0,0.0,2.0,2.0,0,3.0,2.0,0.0,majority
1.0,0.0,3.0,0.0,0,2.0,2.0,0.0,majority
6.0,0.0,1.0,1.0,0,3.0,4.0,0.0,majority
4.0,1.0,2.0,2.0,0,3.0,2.0,0.0,majority
2.0,0.0,1.0,0.0,1,2.0,2.0,0.0,majority
1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,majority
2.0,1.0,2.0,2.0,0,3.0,3.0,0.0,majority
2.0,0.0,0.0,1.0,0,2.0,2.0,0.0,majority
